indikatorBeskrivelse;indikatorReferanseUid2;geografiskOmradeReferanseUid;nedreKonfidensIntervalGrense;tilstandsverdi;ovreKonfidensIntervalGrense;periodeStart;periodeSlutt
Konnektivitet;fragmentering;midt-norge-2020;0.715523953776688;0.715523953776688;0.715523953776688;2016;2020
Konnektivitet;fragmentering;ostlandet-2020;0.477900534168346;0.477900534168346;0.477900534168346;2016;2020
Konnektivitet;fragmentering;nord-norge-2020;0.671310759730118;0.671310759730118;0.671310759730118;2016;2020
Konnektivitet;fragmentering;hele-norge-2020;0.601231698911943;0.601231698911943;0.601231698911943;2016;2020
Konnektivitet;fragmentering;sorlandet-2020;0.513011755310455;0.513011755310455;0.513011755310455;2016;2020
Konnektivitet;fragmentering;vestlandet-2020;0.438200845496107;0.438200845496107;0.438200845496107;2016;2020
Areal uten tekniske inngrep;areal-uten-teknisk-inngrep;midt-norge-2020;0.83277756518887;0.83277756518887;0.83277756518887;2016;2020
Areal uten tekniske inngrep;areal-uten-teknisk-inngrep;ostlandet-2020;0.759651564352353;0.759651564352353;0.759651564352353;2016;2020
Areal uten tekniske inngrep;areal-uten-teknisk-inngrep;nord-norge-2020;0.842639593908629;0.842639593908629;0.842639593908629;2016;2020
Areal uten tekniske inngrep;areal-uten-teknisk-inngrep;hele-norge-2020;0.792139291750187;0.792139291750187;0.792139291750187;2016;2020
Areal uten tekniske inngrep;areal-uten-teknisk-inngrep;sorlandet-2020;0.73120665742025;0.73120665742025;0.73120665742025;2016;2020
Areal uten tekniske inngrep;areal-uten-teknisk-inngrep;vestlandet-2020;0.659686869657093;0.659686869657093;0.659686869657093;2016;2020
Jerv;jerv;midt-norge-2020;0.149857960935955;0.251928221005814;0.455248978365489;2016;2020
Jerv;jerv;ostlandet-2020;0.146724420628457;0.203450642728563;0.283161602978478;2016;2020
Jerv;jerv;nord-norge-2020;0.0834166586600529;0.132272550388847;0.206940361595549;2016;2020
Jerv;jerv;hele-norge-2020;0.0113763160139884;0.137565185531935;0.353941382633917;2016;2020
Jerv;jerv;sorlandet-2020;0.00768780605232111;0.0163383441903128;0.0383515514494599;2016;2020
Jerv;jerv;vestlandet-2020;0.00842571064842245;0.0198919533409894;0.0545676701902087;2016;2020
Kongeørn;kongeorn;midt-norge-2020;0.787477226899731;0.900363969864953;1;2016;2020
Kongeørn;kongeorn;ostlandet-2020;0.806343606060833;0.899574506530072;0.995924044449906;2016;2020
Kongeørn;kongeorn;nord-norge-2020;0.788175373574089;0.900806502083677;1;2016;2020
Kongeørn;kongeorn;hele-norge-2020;0.792055489927633;0.900985387100659;1;2016;2020
Kongeørn;kongeorn;sorlandet-2020;0.807555704550038;0.901726311292079;0.993637019309377;2016;2020
Kongeørn;kongeorn;vestlandet-2020;0.805025584824533;0.900016265324368;0.995071180525275;2016;2020
Lirype;lirype;midt-norge-2020;0.776010663012561;0.785813073452327;0.79600377698055;2016;2020
Lirype;lirype;ostlandet-2020;0.624344080310491;0.631697626086978;0.639143522619646;2016;2020
Lirype;lirype;nord-norge-2020;0.305294905804748;0.311732870443345;0.31820954189322;2016;2020
Lirype;lirype;hele-norge-2020;0.511189642094505;0.516111842310747;0.521175356320327;2016;2020
Lirype;lirype;sorlandet-2020;0.681779652553307;0.701796420850034;0.72273313442852;2016;2020
Lirype;lirype;vestlandet-2020;0.681779652553307;0.701796420850034;0.72273313442852;2016;2020
NDVI (øvre);ndvi-ovre;midt-norge-2020;0.765868416079264;0.770718612847508;0.775622670120991;2016;2020
NDVI (øvre);ndvi-ovre;ostlandet-2020;0.769646610134072;0.774525680626072;0.779404495807454;2016;2020
NDVI (øvre);ndvi-ovre;nord-norge-2020;0.726151852318418;0.728810304418833;0.731497219278246;2016;2020
NDVI (øvre);ndvi-ovre;hele-norge-2020;0.747807331291511;0.74977728543689;0.751792268257438;2016;2020
NDVI (øvre);ndvi-ovre;sorlandet-2020;0.801869852784918;0.810203144390768;0.818147543866819;2016;2020
NDVI (øvre);ndvi-ovre;vestlandet-2020;0.756846326784837;0.762763418570308;0.768816207556298;2016;2020
NDVI (nedre);ndvi-nedre;midt-norge-2020;0.898406668088708;0.907089478965492;0.915266548235746;2016;2020
NDVI (nedre);ndvi-nedre;ostlandet-2020;0.85251022970777;0.859302731198607;0.865996503703753;2016;2020
NDVI (nedre);ndvi-nedre;nord-norge-2020;0.876533806686096;0.882201106240873;0.887757542286351;2016;2020
NDVI (nedre);ndvi-nedre;hele-norge-2020;0.872717857071747;0.875909986037908;0.879100964438848;2016;2020
NDVI (nedre);ndvi-nedre;sorlandet-2020;0.855937109608685;0.863715307859147;0.871425644738648;2016;2020
NDVI (nedre);ndvi-nedre;vestlandet-2020;0.867702226548844;0.87543117442154;0.882821970173394;2016;2020
Rein;rein;midt-norge-2020;0.509125870305955;0.618303517489158;0.72725890024034;2016;2020
Rein;rein;ostlandet-2020;0.615420740968731;0.684511169546453;0.762520447347051;2016;2020
Rein;rein;nord-norge-2020;0.53400804583029;0.598664448538041;0.652697136628827;2016;2020
Rein;rein;hele-norge-2020;0.55599034522576;0.59751620106462;0.643062571481294;2016;2020
Rein;rein;sorlandet-2020;0.657192247441654;0.714760201202096;0.768871655720037;2016;2020
Rein;rein;vestlandet-2020;0.319028260771174;0.452933504771566;0.614720411991005;2016;2020
Snødekkets varighet;snodekke;midt-norge-2020;0.71225959709384;0.96897965916625;1;2016;2020
Snødekkets varighet;snodekke;ostlandet-2020;0.667072170329669;0.884965263857894;0.981094569826228;2016;2020
Snødekkets varighet;snodekke;nord-norge-2020;0.596312553297819;0.873613549695782;1;2016;2020
Snødekkets varighet;snodekke;hele-norge-2020;0.596312553297819;0.86599990811119;1;2016;2020
Snødekkets varighet;snodekke;sorlandet-2020;0.591063511355944;0.787515363607791;0.923557356419876;2016;2020
Snødekkets varighet;snodekke;vestlandet-2020;0.686051975440946;0.840858693665332;0.921358187142012;2016;2020
Snødybde;snodybde;midt-norge-2020;0.845429239090097;0.964542169513949;1;2016;2020
Snødybde;snodybde;ostlandet-2020;0.798539956586577;0.969263497231918;1;2016;2020
Snødybde;snodybde;nord-norge-2020;0.963147655223543;1;1;2016;2020
Snødybde;snodybde;hele-norge-2020;0.798539956586577;1;1;2016;2020
Snødybde;snodybde;sorlandet-2020;0.762578676607517;0.910939201876119;1;2016;2020
Snødybde;snodybde;vestlandet-2020;0.904848755836171;0.973075822705729;1;2016;2020
Smågnagere;smaagnagere;midt-norge-2020;0.029070091;0.04734171;0.08286830625;2016;2020
Smågnagere;smaagnagere;ostlandet-2020;0.0563397040667339;0.102979518615626;0.160720024762879;2016;2020
