Id	name	navn	TaxonId	mcat	cat	IntroSpread	frq	abun	timing	comm
FA3/N/857	Cotula coronopifolia	fjæreknapp	60493	contaminant	otherUnknownContaminant	introduction	rarerThan10years	unknown	ongoing	Kommet inn med gartnerimateriale (jord, planter) i Vf Larvik.
FA3/S/100	Crangon crangon		14290	stowaway	ballastWater	introduction	unknown	unknown	future	"Larvene av <i>Crangon crangon </i>kan leve pelagisk opp til ca. 5 uker i de frie vannmasser (Moen &amp; Svensen 2014) og kan derfor spres med ballastvann til Svalbard."
FA3/N/3307	Crangonyx pseudogracilis		140739	escape	petAquariumTerrariumSpecies	introduction	unknown	unknown	unknown	"Det antas at <i>C. pseudogracilis</i> har blitt satt ut i Fr&#248;ylandsvatnet ved at akvarieinnhold har blitt t&#248;mt ut i innsj&#248;en eller bekker i nedb&#248;rfeltet, eller at den er blitt spredt med vannplanter beregnet p&#229; hagedammer (Spikkeland et al. 2016)."
FA3/N/3307	Crangonyx pseudogracilis		140739	stowaway	otherMeansOfTransport	introduction	unknown	unknown	unknown	"Det antas at <i>C. pseudogracilis</i> har blitt satt ut i Fr&#248;ylandsvatnet ved at akvarieinnhold har blitt t&#248;mt ut i innsj&#248;en eller bekker i nedb&#248;rfeltet, eller at den er blitt spredt med vannplanter beregnet p&#229; hagedammer (Spikkeland et al. 2016)."
FA3/N/1050	Crassostrea gigas	stillehavsøsters	141823	unaided	naturalDispersalAcrossBorders	introduction	unknown	unknown	ongoing	
FA3/N/1050	Crassostrea gigas	stillehavsøsters	141823	unaided	naturalDispersalAcrossBorders	spread	unknown	unknown	ongoing	
FA3/N/1050	Crassostrea gigas	stillehavsøsters	141823	contaminant	contaminantOnAnimals	introduction	unknown	unknown	historic	"Arten er introdusert til Norge b&#229;de import til oppdrett (B&#248;hle, 1984, Bodvin et al., 2014) og ved sekund&#230;rspredning fra forvillede bestander i Danmark og Sverige (Bodvin et al., <i>op. cit</i>.). hvor stort bidraget er fra disse introduksjonsm&#229;tene er forel&#248;pig ikke klarlagt."
FA3/N/1050	Crassostrea gigas	stillehavsøsters	141823	escape	aquaculture	spread	unknown	unknown	ceased	"Det ble funnet forvillede stillehavs&#248;sters n&#230;r akvakultur anlegg ved Tysnes i &#229;rene etter import og fors&#248;k p&#229; oppdrett."
FA3/N/2512	Crassostrea virginica		85393	unaided	naturalDispersalAcrossBorders	introduction	unknown	unknown	future	"Arten har pelagisk larvefase, hvor fasens lengde er avhengig av temperaturen. Veligerfasen kan vare opp til seks uker, og dette tilsier at den i prinsippet kan spres sv&#230;rt langt i larvefasen (Anon., (2007)."
FA3/N/2512	Crassostrea virginica		85393	stowaway	hullFouling	introduction	unknown	unknown	unknown	Mulig fremtidig spredningsvei
