"","reg","year","val","X"
"123","C",2020,0.430235329646761,"vamrmekrav"
"124","C",2020,0.388192776526564,"vamrmekrav"
"125","C",2020,0.356479533424472,"vamrmekrav"
"126","C",2020,0.398557674560314,"vamrmekrav"
"127","C",2020,0.464345274958722,"vamrmekrav"
"128","C",2020,0.405096885134822,"vamrmekrav"
"129","C",2020,0.394398089411822,"vamrmekrav"
"130","C",2020,0.437468859977769,"vamrmekrav"
"131","C",2020,0.409745020184165,"vamrmekrav"
"132","C",2020,0.449423084970777,"vamrmekrav"
"133","C",2020,0.426566427291708,"vamrmekrav"
"134","C",2020,0.446270465706708,"vamrmekrav"
"135","C",2020,0.384535590518607,"vamrmekrav"
"136","C",2020,0.441989349038892,"vamrmekrav"
"137","C",2020,0.418490868912775,"vamrmekrav"
"138","C",2020,0.356622894004193,"vamrmekrav"
"139","C",2020,0.388087776736455,"vamrmekrav"
"140","C",2020,0.44353330836743,"vamrmekrav"
"141","C",2020,0.393788606072434,"vamrmekrav"
"142","C",2020,0.424678921568806,"vamrmekrav"
"143","C",2020,0.432108934915149,"vamrmekrav"
"144","C",2020,0.430987668610529,"vamrmekrav"
"145","C",2020,0.372512961519653,"vamrmekrav"
"146","C",2020,0.368305791568114,"vamrmekrav"
"147","C",2020,0.400879716247126,"vamrmekrav"
"148","C",2020,0.364249177695628,"vamrmekrav"
"149","C",2020,0.421057325747551,"vamrmekrav"
"150","C",2020,0.419448059604343,"vamrmekrav"
"151","C",2020,0.380197813844551,"vamrmekrav"
"152","C",2020,0.414159244892567,"vamrmekrav"
"153","C",2020,0.492088507049511,"vamrmekrav"
"154","C",2020,0.417760330284246,"vamrmekrav"
"155","C",2020,0.410379068457264,"vamrmekrav"
"156","C",2020,0.387151562722068,"vamrmekrav"
"157","C",2020,0.407154714759978,"vamrmekrav"
"158","C",2020,0.477622382344392,"vamrmekrav"
"159","C",2020,0.420909661111883,"vamrmekrav"
"160","C",2020,0.426102061586319,"vamrmekrav"
"161","C",2020,0.433444385021902,"vamrmekrav"
"162","C",2020,0.350501437719632,"vamrmekrav"
"163","C",2020,0.447894600558618,"vamrmekrav"
"164","C",2020,0.505799814940258,"vamrmekrav"
"165","C",2020,0.353501496390166,"vamrmekrav"
"166","C",2020,0.406236644194323,"vamrmekrav"
"167","C",2020,0.439917597729726,"vamrmekrav"
"168","C",2020,0.456274625272414,"vamrmekrav"
"169","C",2020,0.430277451551946,"vamrmekrav"
"170","C",2020,0.435008603822674,"vamrmekrav"
"171","C",2020,0.360251018426605,"vamrmekrav"
"172","C",2020,0.471466765768285,"vamrmekrav"
"173","C",2020,0.481461995165882,"vamrmekrav"
"174","C",2020,0.387977028938461,"vamrmekrav"
"175","C",2020,0.458200467074263,"vamrmekrav"
"176","C",2020,0.468590544517643,"vamrmekrav"
"177","C",2020,0.45101154758529,"vamrmekrav"
"178","C",2020,0.466431451502648,"vamrmekrav"
"179","C",2020,0.467799920276602,"vamrmekrav"
"180","C",2020,0.471423576672248,"vamrmekrav"
"181","C",2020,0.413840979468677,"vamrmekrav"
"182","C",2020,0.465374443123293,"vamrmekrav"
"183","C",2020,0.40599547802967,"vamrmekrav"
"184","C",2020,0.421220813630844,"vamrmekrav"
"185","C",2020,0.491209904922273,"vamrmekrav"
"186","C",2020,0.414157844141853,"vamrmekrav"
"187","C",2020,0.398703511801323,"vamrmekrav"
"188","C",2020,0.422717497597251,"vamrmekrav"
"189","C",2020,0.40259944066548,"vamrmekrav"
"190","C",2020,0.452051906385302,"vamrmekrav"
"191","C",2020,0.434137275700328,"vamrmekrav"
"192","C",2020,0.446462904224949,"vamrmekrav"
"193","C",2020,0.485828627605053,"vamrmekrav"
"194","C",2020,0.438915082618538,"vamrmekrav"
"195","C",2020,0.449030562185321,"vamrmekrav"
"196","C",2020,0.454045088944218,"vamrmekrav"
"197","C",2020,0.471781109614801,"vamrmekrav"
"198","C",2020,0.40407574301216,"vamrmekrav"
"199","C",2020,0.440779127069126,"vamrmekrav"
"200","C",2020,0.452198287316306,"vamrmekrav"
"201","C",2020,0.37433177360835,"vamrmekrav"
"202","C",2020,0.409758099174634,"vamrmekrav"
"203","C",2020,0.483177526160422,"vamrmekrav"
"204","C",2020,0.440651490138125,"vamrmekrav"
"205","C",2020,0.434687872364685,"vamrmekrav"
"206","C",2020,0.452216145725508,"vamrmekrav"
"207","C",2020,0.404292665577126,"vamrmekrav"
"208","C",2020,0.445142508481659,"vamrmekrav"
"209","C",2020,0.398831101702675,"vamrmekrav"
"210","C",2020,0.372690804461621,"vamrmekrav"
"211","C",2020,0.450529122507705,"vamrmekrav"
"212","C",2020,0.472219866646918,"vamrmekrav"
"213","C",2020,0.37276824783511,"vamrmekrav"
"214","C",2020,0.386356276358096,"vamrmekrav"
"215","C",2020,0.400631943842307,"vamrmekrav"
"216","C",2020,0.40718253759152,"vamrmekrav"
"217","C",2020,0.416853147421665,"vamrmekrav"
"218","C",2020,0.410769836442107,"vamrmekrav"
"219","C",2020,0.432660445663913,"vamrmekrav"
"220","C",2020,0.43110409987495,"vamrmekrav"
"221","C",2020,0.413407847617006,"vamrmekrav"
"222","C",2020,0.441549535959441,"vamrmekrav"
"223","C",2020,0.415961029355431,"vamrmekrav"
"224","C",2020,0.440591065722898,"vamrmekrav"
"225","C",2020,0.411960628842534,"vamrmekrav"
"226","C",2020,0.409728212748395,"vamrmekrav"
"227","C",2020,0.461539829539564,"vamrmekrav"
"228","C",2020,0.423169882546465,"vamrmekrav"
"229","C",2020,0.407535287366262,"vamrmekrav"
"230","C",2020,0.461867776361346,"vamrmekrav"
"231","C",2020,0.44991790015141,"vamrmekrav"
"232","C",2020,0.387776551323582,"vamrmekrav"
"233","C",2020,0.405786558216356,"vamrmekrav"
"234","C",2020,0.418032230911577,"vamrmekrav"
"235","C",2020,0.43244876362942,"vamrmekrav"
"236","C",2020,0.417089008323848,"vamrmekrav"
"237","C",2020,0.395250019322784,"vamrmekrav"
"238","C",2020,0.448074220996248,"vamrmekrav"
"239","C",2020,0.420953416245401,"vamrmekrav"
"240","C",2020,0.403824219546536,"vamrmekrav"
"241","C",2020,0.459346895807117,"vamrmekrav"
"242","C",2020,0.473337185376588,"vamrmekrav"
"243","C",2020,0.389222302553124,"vamrmekrav"
"244","C",2020,0.354497544481706,"vamrmekrav"
"245","C",2020,0.432603733616719,"vamrmekrav"
"246","C",2020,0.429784088692843,"vamrmekrav"
"247","C",2020,0.426745264882878,"vamrmekrav"
"248","C",2020,0.382574646695669,"vamrmekrav"
"249","C",2020,0.470755784667681,"vamrmekrav"
"250","C",2020,0.471092093172152,"vamrmekrav"
"251","C",2020,0.375474030300007,"vamrmekrav"
"252","C",2020,0.45276643340738,"vamrmekrav"
"253","C",2020,0.436540176548578,"vamrmekrav"
"254","C",2020,0.414731126550716,"vamrmekrav"
"255","C",2020,0.471151636447152,"vamrmekrav"
"256","C",2020,0.387993967919952,"vamrmekrav"
"257","C",2020,0.415125134013861,"vamrmekrav"
"258","C",2020,0.442888805299824,"vamrmekrav"
"259","C",2020,0.439783683508935,"vamrmekrav"
"260","C",2020,0.422159329607653,"vamrmekrav"
"261","C",2020,0.445331543951005,"vamrmekrav"
"262","C",2020,0.423416980974,"vamrmekrav"
"263","C",2020,0.410025357848576,"vamrmekrav"
"264","C",2020,0.408303309802913,"vamrmekrav"
"265","C",2020,0.409002622318804,"vamrmekrav"
"266","C",2020,0.446762378205553,"vamrmekrav"
