"","reg","year","val"
"1","N",2019,0.657908250951194
"2","N",2019,0.669490262585148
"3","N",2019,0.649623388414153
"4","N",2019,0.654712532233478
"5","N",2019,0.665061053544012
"6","N",2019,0.637289919842064
"7","N",2019,0.636710195155097
"8","N",2019,0.652630994790046
"9","N",2019,0.682190689679414
"10","N",2019,0.645183226548369
"11","N",2019,0.655917008353173
"12","N",2019,0.674991400427972
"13","N",2019,0.699746761392847
"14","N",2019,0.668476690376529
"15","N",2019,0.676710215329335
"16","N",2019,0.651671556508711
"17","N",2019,0.661793529712046
"18","N",2019,0.656978673001108
"19","N",2019,0.644488728445375
"20","N",2019,0.644648519574075
"21","N",2019,0.661680143701289
"22","N",2019,0.646095050975645
"23","N",2019,0.64440599731309
"24","N",2019,0.648240216622066
"25","N",2019,0.652495650189036
"26","N",2019,0.676174567299135
"27","N",2019,0.644679467168498
"28","N",2019,0.671438355151254
"29","N",2019,0.648851350249892
"30","N",2019,0.663202635529577
"31","N",2019,0.667541294442908
"32","N",2019,0.687212271975922
"33","N",2019,0.676086427609032
"34","N",2019,0.674966243454557
"35","N",2019,0.671084432669935
"36","N",2019,0.634642677492677
"37","N",2019,0.655407491788332
"38","N",2019,0.666235630443806
"39","N",2019,0.694121725427221
"40","N",2019,0.641404711332439
"41","N",2019,0.642795429128523
"42","N",2019,0.661019416946286
"43","N",2019,0.666058131924384
"44","N",2019,0.665852585847915
"45","N",2019,0.676101638290861
"46","N",2019,0.659425463517179
"47","N",2019,0.658705729191543
"48","N",2019,0.642557896922011
"49","N",2019,0.673013039737015
"50","N",2019,0.667399458609346
"51","N",2019,0.634915841493544
"52","N",2019,0.654712936949858
"53","N",2019,0.659989440139484
"54","N",2019,0.662795213695303
"55","N",2019,0.658791806185249
"56","N",2019,0.644489891795554
"57","N",2019,0.651270213209635
"58","N",2019,0.654875703440885
"59","N",2019,0.662715553975393
"60","N",2019,0.645451540441993
"61","N",2019,0.642331575519878
"62","N",2019,0.69070050751817
"63","N",2019,0.643361195443612
"64","N",2019,0.634422588088856
"65","N",2019,0.654312499601978
"66","N",2019,0.647048993184599
"67","N",2019,0.670279847419792
"68","N",2019,0.653117225367306
"69","N",2019,0.66125313885519
"70","N",2019,0.661811815253868
"71","N",2019,0.6434943328912
"72","N",2019,0.654607563458785
"73","N",2019,0.662760953214502
"74","N",2019,0.672837673539171
"75","N",2019,0.6643295498088
"76","N",2019,0.676655240719945
"77","N",2019,0.657486123299626
"78","N",2019,0.638843318560046
"79","N",2019,0.641649975235763
"80","N",2019,0.669043198204657
"81","N",2019,0.648257893262428
"82","N",2019,0.679527872624803
"83","N",2019,0.655374176509148
"84","N",2019,0.65923318048299
"85","N",2019,0.650137070702553
"86","N",2019,0.660240979651355
"87","N",2019,0.670870517780296
"88","N",2019,0.658506435982936
"89","N",2019,0.654713217459385
"90","N",2019,0.653278147540237
"91","N",2019,0.652039940976184
"92","N",2019,0.673577791071554
"93","N",2019,0.666141427242085
"94","N",2019,0.648807651126538
"95","N",2019,0.660073355913179
"96","N",2019,0.634550135387027
"97","N",2019,0.665915412486418
"98","N",2019,0.651786343372501
"99","N",2019,0.662632181426186
"100","N",2019,0.656931447578818
"101","N",2019,0.659800429656024
"102","N",2019,0.665028658763325
"103","N",2019,0.647207877003547
"104","N",2019,0.660213342781922
"105","N",2019,0.640302209592597
"106","N",2019,0.645031537854818
"107","N",2019,0.65752715385446
"108","N",2019,0.663424301919569
"109","N",2019,0.668160163532594
"110","N",2019,0.649888215470073
"111","N",2019,0.684112142886333
"112","N",2019,0.661351938693067
"113","N",2019,0.633231275683429
"114","N",2019,0.646123539932915
"115","N",2019,0.665364117850318
"116","N",2019,0.647444826906984
"117","N",2019,0.673029881804518
"118","N",2019,0.608761690958146
"119","N",2019,0.668660287629548
"120","N",2019,0.657856168653043
"121","N",2019,0.666079466336069
"122","N",2019,0.655261140488188
"123","N",2019,0.676348988625308
"124","N",2019,0.650597736039865
"125","N",2019,0.660510069101065
"126","N",2019,0.663491492948715
"127","N",2019,0.681005615765474
"128","N",2019,0.639223243023756
"129","N",2019,0.642977546731342
"130","N",2019,0.664340362788582
"131","N",2019,0.67127543026722
"132","N",2019,0.662499279924535
"133","N",2019,0.671304416955028
"134","N",2019,0.662962828066997
"135","N",2019,0.64847927120868
"136","N",2019,0.650436488454451
"137","N",2019,0.663906569065189
"138","N",2019,0.647390468765119
"139","N",2019,0.681477697122353
"140","N",2019,0.686165393847885
"141","N",2019,0.666943779395799
"142","N",2019,0.672476725265544
"143","N",2019,0.661512615427705
"144","N",2019,0.632778135244192
"145","N",2019,0.640780057013864
"146","N",2019,0.662022730655317
"147","N",2019,0.637487033253822
"148","N",2019,0.636191615270687
"149","N",2019,0.676065267365815
"150","N",2019,0.657688319182444
"151","N",2019,0.675367055126692
"152","N",2019,0.65182236548522
"153","N",2019,0.654471326129842
"154","N",2019,0.661859868700548
"155","N",2019,0.652226791510014
"156","N",2019,0.659743320942437
"157","N",2019,0.66351478293361
"158","N",2019,0.687255509001523
"159","N",2019,0.671346856272144
"160","N",2019,0.665028337973929
"161","N",2019,0.666491850236751
"162","N",2019,0.669974435743785
"163","N",2019,0.649614084848174
"164","N",2019,0.665056203308907
"165","N",2019,0.665814291543613
"166","N",2019,0.653176535319888
"167","N",2019,0.650311122596796
"168","N",2019,0.665924929852705
"169","N",2019,0.658211378674999
"170","N",2019,0.685941712971623
"171","N",2019,0.656775728857321
"172","N",2019,0.66069813726359
"173","N",2019,0.67909513461328
"174","N",2019,0.664008170248749
"175","N",2019,0.659108258845369
"176","N",2019,0.688030210617131
"177","N",2019,0.643338540660666
"178","N",2019,0.662731068511401
"179","N",2019,0.669716645335845
"180","N",2019,0.655473304631228
"181","N",2019,0.659339287822408
"182","N",2019,0.654896397877881
"183","N",2019,0.660090972094672
"184","N",2019,0.645916350656438
"185","N",2019,0.651896941682796
"186","N",2019,0.634898825356544
"187","N",2019,0.659602632084196
"188","N",2019,0.64394052806128
"189","N",2019,0.659443050389375
"190","N",2019,0.673248399194689
"191","N",2019,0.681826743095507
"192","N",2019,0.649135708353492
"193","N",2019,0.642466849496448
"194","N",2019,0.664491469205582
"195","N",2019,0.669764091626744
"196","N",2019,0.655897626364755
"197","N",2019,0.671895302872735
"198","N",2019,0.654609978499102
"199","N",2019,0.656774568074429
"200","N",2019,0.667942881213948
"201","N",2019,0.638007667489947
"202","N",2019,0.674229993790764
"203","N",2019,0.66262212880784
"204","N",2019,0.655454879606162
"205","N",2019,0.652286200953064
"206","N",2019,0.644533841076901
"207","N",2019,0.651812708979089
"208","N",2019,0.665673976902968
"209","N",2019,0.646238672386721
"210","N",2019,0.680749827147301
"211","N",2019,0.646369974089129
"212","N",2019,0.67000617070433
"213","N",2019,0.655945850117561
"214","N",2019,0.669045319237955
"215","N",2019,0.660698963355126
"216","N",2019,0.664571072202342
"217","N",2019,0.69899298159113
"218","N",2019,0.657896165079006
"219","N",2019,0.668233687082988
"220","N",2019,0.669816592079899
"221","N",2019,0.658614717338977
"222","N",2019,0.654576601738037
"223","N",2019,0.651200767191199
"224","N",2019,0.669813848225688
"225","N",2019,0.663260827871145
"226","N",2019,0.660366686564549
"227","N",2019,0.681412504195563
"228","N",2019,0.663407713269895
"229","N",2019,0.663520633083149
"230","N",2019,0.650107558983797
"231","N",2019,0.649454699090945
"232","N",2019,0.667770587428647
"233","N",2019,0.660025151884005
"234","N",2019,0.645632182747044
"235","N",2019,0.658712043980531
"236","N",2019,0.644398425591252
"237","N",2019,0.667646457719912
"238","N",2019,0.657742866845837
"239","N",2019,0.671778477065846
"240","N",2019,0.66114822182086
"241","N",2019,0.655238182932945
"242","N",2019,0.669434164740206
"243","N",2019,0.660658016782625
"244","N",2019,0.653621923650159
"245","N",2019,0.672888097041118
"246","N",2019,0.673614970557032
"247","N",2019,0.665546132458753
"248","N",2019,0.655921410551895
"249","N",2019,0.671030669723975
"250","N",2019,0.621011789064936
"251","N",2019,0.680666687689529
"252","N",2019,0.640447922769857
"253","N",2019,0.666481598529524
"254","N",2019,0.666551917400437
"255","N",2019,0.651924695184331
"256","N",2019,0.651738060883568
"257","N",2019,0.669967158487515
"258","N",2019,0.671337005074671
"259","N",2019,0.647154845872724
"260","N",2019,0.660930387196314
"261","N",2019,0.663717743083874
"262","N",2019,0.681732656249988
"263","N",2019,0.654892262654036
"264","N",2019,0.651671283330958
"265","N",2019,0.672891244592933
"266","N",2019,0.648505223849865
"267","N",2019,0.644616635280472
"268","N",2019,0.678383799487127
"269","N",2019,0.65503095063221
"270","N",2019,0.656284612157241
"271","N",2019,0.638618375140937
"272","N",2019,0.636364433141336
"273","N",2019,0.652260693487311
"274","N",2019,0.656738288866117
"275","N",2019,0.674257675749733
"276","N",2019,0.653086238512627
"277","N",2019,0.675349774983138
"278","N",2019,0.663525983652285
"279","N",2019,0.645141034048328
"280","N",2019,0.652979313764579
"281","N",2019,0.640811279748904
"282","N",2019,0.668865101481039
"283","N",2019,0.642122067742575
"284","N",2019,0.651138922102754
"285","N",2019,0.629490793322364
"286","N",2019,0.648678440433754
"287","N",2019,0.623205130704376
"288","N",2019,0.665272574009238
"289","N",2019,0.680264893609001
"290","N",2019,0.659500355217235
"291","N",2019,0.704263622504856
"292","N",2019,0.658741961638125
"293","N",2019,0.666482323557057
"294","N",2019,0.660042690661179
"295","N",2019,0.667994203629751
"296","N",2019,0.662477368050391
"297","N",2019,0.663024966148911
"298","N",2019,0.643313218411562
"299","N",2019,0.690455161153296
"300","N",2019,0.6351853218705
"301","N",2019,0.669855809834469
"302","N",2019,0.671452089653044
"303","N",2019,0.666663711886107
"304","N",2019,0.660803014078544
"305","N",2019,0.675786564401294
"306","N",2019,0.656207443647392
"307","N",2019,0.674760912790848
"308","N",2019,0.676378798780114
"309","N",2019,0.653777632401575
"310","N",2019,0.654009007299627
"311","N",2019,0.669155186943294
"312","N",2019,0.666127882902561
"313","N",2019,0.655648963551906
"314","N",2019,0.663806303241063
"315","N",2019,0.655715931977846
"316","N",2019,0.657844204690116
"317","N",2019,0.670074122065267
"318","N",2019,0.661212270356781
"319","N",2019,0.671809894367981
"320","N",2019,0.634216334267873
"321","N",2019,0.667801753154767
"322","N",2019,0.657598133705898
"323","N",2019,0.642860089283326
"324","N",2019,0.678192367527855
"325","N",2019,0.655316534469324
"326","N",2019,0.675977650794019
"327","N",2019,0.659244006932898
"328","N",2019,0.670160141210661
"329","N",2019,0.641425047247287
"330","N",2019,0.668841010767546
"331","N",2019,0.669743444382089
"332","N",2019,0.670459669017988
"333","N",2019,0.645830694213313
"334","N",2019,0.669772910588092
"335","N",2019,0.686706466525949
"336","N",2019,0.63563735054568
"337","N",2019,0.662499057679001
"338","N",2019,0.656458716639988
"339","N",2019,0.638110493387919
"340","N",2019,0.659916969412465
"341","N",2019,0.671811424343692
"342","N",2019,0.643521046373638
"343","N",2019,0.666167843407198
"344","N",2019,0.626862904011166
"345","N",2019,0.65521692442605
"346","N",2019,0.653999157287554
"347","N",2019,0.666640725162699
"348","N",2019,0.667373861168882
"349","N",2019,0.663237062325816
"350","N",2019,0.648647716968502
"351","N",2019,0.677573732532793
"352","N",2019,0.636715491630711
"353","N",2019,0.670208511441954
"354","N",2019,0.664384343650254
"355","N",2019,0.65004077938089
"356","N",2019,0.672720947183026
"357","N",2019,0.656532346377057
"358","N",2019,0.650016315486074
"359","N",2019,0.637517404836037
"360","N",2019,0.662409465640744
"361","N",2019,0.652976358469316
"362","N",2019,0.697737350334181
"363","N",2019,0.648224514434928
"364","N",2019,0.661368980594582
"365","N",2019,0.64623683051118
"366","N",2019,0.662032539648951
"367","N",2019,0.66386276320046
"368","N",2019,0.668912839748717
"369","N",2019,0.669160968159833
"370","N",2019,0.634575592096885
"371","N",2019,0.664405450007074
"372","N",2019,0.665025796432508
"373","N",2019,0.646106570735193
"374","N",2019,0.671356568370438
