"","reg","val","X","nCells"
"112","N",0.883684042997836,"NDVI_lower",1432
"113","N",0.879530706767027,"NDVI_lower",1432
"114","N",0.884030757556725,"NDVI_lower",1432
"115","N",0.880950409443218,"NDVI_lower",1432
"116","N",0.88137716223356,"NDVI_lower",1432
"117","N",0.881483593605662,"NDVI_lower",1432
"118","N",0.879908486001641,"NDVI_lower",1432
"119","N",0.878982575116479,"NDVI_lower",1432
"120","N",0.882330670014621,"NDVI_lower",1432
"121","N",0.876558127653115,"NDVI_lower",1432
"122","N",0.885734632147168,"NDVI_lower",1432
"123","N",0.885973180836404,"NDVI_lower",1432
"124","N",0.881116251544795,"NDVI_lower",1432
"125","N",0.882476000420269,"NDVI_lower",1432
"126","N",0.884231600534975,"NDVI_lower",1432
"127","N",0.883256088735202,"NDVI_lower",1432
"128","N",0.882814361387207,"NDVI_lower",1432
"129","N",0.883602798892666,"NDVI_lower",1432
"130","N",0.887115486040701,"NDVI_lower",1432
"131","N",0.884456917494773,"NDVI_lower",1432
"132","N",0.881411436865592,"NDVI_lower",1432
"133","N",0.881938716579929,"NDVI_lower",1432
"134","N",0.880025522971886,"NDVI_lower",1432
"135","N",0.878202381752308,"NDVI_lower",1432
"136","N",0.880834773037435,"NDVI_lower",1432
"137","N",0.886618388992998,"NDVI_lower",1432
"138","N",0.879129212137368,"NDVI_lower",1432
"139","N",0.88265160547899,"NDVI_lower",1432
"140","N",0.878469779833918,"NDVI_lower",1432
"141","N",0.883324544161717,"NDVI_lower",1432
"142","N",0.885920769180228,"NDVI_lower",1432
"143","N",0.881984884068226,"NDVI_lower",1432
"144","N",0.879425196355913,"NDVI_lower",1432
"145","N",0.878481688139744,"NDVI_lower",1432
"146","N",0.87875334724664,"NDVI_lower",1432
"147","N",0.882236600184229,"NDVI_lower",1432
"148","N",0.882028651878072,"NDVI_lower",1432
"149","N",0.883018114524023,"NDVI_lower",1432
"150","N",0.882994775327376,"NDVI_lower",1432
"151","N",0.879751829940196,"NDVI_lower",1432
"152","N",0.880219837719388,"NDVI_lower",1432
"153","N",0.882061450063943,"NDVI_lower",1432
"154","N",0.881930521571457,"NDVI_lower",1432
"155","N",0.886991325158036,"NDVI_lower",1432
"156","N",0.878988146263738,"NDVI_lower",1432
"157","N",0.88493682184074,"NDVI_lower",1432
"158","N",0.879342666824657,"NDVI_lower",1432
"159","N",0.882758723043917,"NDVI_lower",1432
"160","N",0.885215315877632,"NDVI_lower",1432
"161","N",0.883441816947248,"NDVI_lower",1432
"162","N",0.878814450602944,"NDVI_lower",1432
"163","N",0.883093809480999,"NDVI_lower",1432
"164","N",0.880575029683195,"NDVI_lower",1432
"165","N",0.881923798281142,"NDVI_lower",1432
"166","N",0.878995886230847,"NDVI_lower",1432
"167","N",0.881943047896416,"NDVI_lower",1432
"168","N",0.881519104397009,"NDVI_lower",1432
"169","N",0.88624596909033,"NDVI_lower",1432
"170","N",0.882604523536597,"NDVI_lower",1432
"171","N",0.882989094979908,"NDVI_lower",1432
"172","N",0.87989289385398,"NDVI_lower",1432
"173","N",0.880904211354947,"NDVI_lower",1432
"174","N",0.883619622584475,"NDVI_lower",1432
"175","N",0.886012213149729,"NDVI_lower",1432
"176","N",0.884955494949297,"NDVI_lower",1432
"177","N",0.882909850196946,"NDVI_lower",1432
"178","N",0.883828860645317,"NDVI_lower",1432
"179","N",0.884422353252304,"NDVI_lower",1432
"180","N",0.888293834138154,"NDVI_lower",1432
"181","N",0.8836840028024,"NDVI_lower",1432
"182","N",0.877201393632584,"NDVI_lower",1432
"183","N",0.878492997740123,"NDVI_lower",1432
"184","N",0.880119922128625,"NDVI_lower",1432
"185","N",0.885344054414054,"NDVI_lower",1432
"186","N",0.879707547887858,"NDVI_lower",1432
"187","N",0.884117080243443,"NDVI_lower",1432
"188","N",0.884183315113119,"NDVI_lower",1432
"189","N",0.882177389874752,"NDVI_lower",1432
"190","N",0.879985824673394,"NDVI_lower",1432
"191","N",0.887573207977274,"NDVI_lower",1432
"192","N",0.882760689535951,"NDVI_lower",1432
"193","N",0.887657128458095,"NDVI_lower",1432
"194","N",0.878888306311473,"NDVI_lower",1432
"195","N",0.880976330851215,"NDVI_lower",1432
"196","N",0.878731156743554,"NDVI_lower",1432
"197","N",0.880745342040738,"NDVI_lower",1432
"198","N",0.886974261216378,"NDVI_lower",1432
"199","N",0.8889528641304,"NDVI_lower",1432
"200","N",0.88286676546478,"NDVI_lower",1432
"201","N",0.88220119887151,"NDVI_lower",1432
"202","N",0.881286238988013,"NDVI_lower",1432
"203","N",0.88136950285616,"NDVI_lower",1432
"204","N",0.886831849629935,"NDVI_lower",1432
"205","N",0.888353924393076,"NDVI_lower",1432
"206","N",0.882939763256306,"NDVI_lower",1432
"207","N",0.88342512504585,"NDVI_lower",1432
"208","N",0.879587720406036,"NDVI_lower",1432
"209","N",0.882335180123481,"NDVI_lower",1432
"210","N",0.886841609338887,"NDVI_lower",1432
"211","N",0.878080495592908,"NDVI_lower",1432
"212","N",0.885112204162219,"NDVI_lower",1432
"213","N",0.882115135630606,"NDVI_lower",1432
"214","N",0.883800521919519,"NDVI_lower",1432
"215","N",0.885091403883432,"NDVI_lower",1432
"216","N",0.879315388013588,"NDVI_lower",1432
"217","N",0.879300035600666,"NDVI_lower",1432
"218","N",0.882178850682496,"NDVI_lower",1432
"219","N",0.878633771248476,"NDVI_lower",1432
"220","N",0.882303819650132,"NDVI_lower",1432
"221","N",0.87337386387083,"NDVI_lower",1432
"222","N",0.881000620306681,"NDVI_lower",1432
"223","N",0.879420928996227,"NDVI_lower",1432
"224","N",0.879504244655064,"NDVI_lower",1432
"225","N",0.88298197337811,"NDVI_lower",1432
"226","N",0.880830385221737,"NDVI_lower",1432
"227","N",0.883299527250217,"NDVI_lower",1432
"228","N",0.881347945877267,"NDVI_lower",1432
"229","N",0.882994232708167,"NDVI_lower",1432
"230","N",0.885124728763243,"NDVI_lower",1432
"231","N",0.879667626235978,"NDVI_lower",1432
"232","N",0.878027355913893,"NDVI_lower",1432
"233","N",0.880566496726159,"NDVI_lower",1432
"234","N",0.883455624891047,"NDVI_lower",1432
"235","N",0.87859850586942,"NDVI_lower",1432
"236","N",0.8828277928409,"NDVI_lower",1432
"237","N",0.882993860892321,"NDVI_lower",1432
"238","N",0.881352682837308,"NDVI_lower",1432
"239","N",0.885852875247096,"NDVI_lower",1432
"240","N",0.885862091337105,"NDVI_lower",1432
"241","N",0.887657971406935,"NDVI_lower",1432
"242","N",0.882199975485448,"NDVI_lower",1432
"243","N",0.883614686314819,"NDVI_lower",1432
"244","N",0.883571175676962,"NDVI_lower",1432
"245","N",0.882125108926101,"NDVI_lower",1432
"246","N",0.885254840599838,"NDVI_lower",1432
"247","N",0.881116633064803,"NDVI_lower",1432
"248","N",0.886806122702385,"NDVI_lower",1432
"249","N",0.884140799274869,"NDVI_lower",1432
"250","N",0.88707711609366,"NDVI_lower",1432
"251","N",0.881286549926323,"NDVI_lower",1432
"252","N",0.878398665040047,"NDVI_lower",1432
"253","N",0.884482803632859,"NDVI_lower",1432
"254","N",0.882712824370631,"NDVI_lower",1432
"255","N",0.8774800939352,"NDVI_lower",1432
"256","N",0.881911703392772,"NDVI_lower",1432
"257","N",0.880683856220052,"NDVI_lower",1432
"258","N",0.885330016151084,"NDVI_lower",1432
"259","N",0.885635874471838,"NDVI_lower",1432
"260","N",0.885418888784179,"NDVI_lower",1432
"261","N",0.884106944026168,"NDVI_lower",1432
"262","N",0.882811049970594,"NDVI_lower",1432
"263","N",0.881972864317441,"NDVI_lower",1432
"264","N",0.881607940518616,"NDVI_lower",1432
"265","N",0.881852727743068,"NDVI_lower",1432
"266","N",0.880394168287318,"NDVI_lower",1432
"267","N",0.884391669570246,"NDVI_lower",1432
"268","N",0.877820712252338,"NDVI_lower",1432
"269","N",0.888261365107466,"NDVI_lower",1432
"270","N",0.87987019346246,"NDVI_lower",1432
"271","N",0.882014900946118,"NDVI_lower",1432
"272","N",0.879516911538528,"NDVI_lower",1432
"273","N",0.880199946803959,"NDVI_lower",1432
"274","N",0.880449862876963,"NDVI_lower",1432
"275","N",0.88353244806528,"NDVI_lower",1432
"276","N",0.88049437664739,"NDVI_lower",1432
"277","N",0.879816969438749,"NDVI_lower",1432
