"","reg","val","year"
"268","C",1,2020
"269","C",1,2020
"270","C",1,2020
"271","C",1,2020
"272","C",1,2020
"273","C",1,2020
"274","C",1,2020
"275","C",1,2020
"276","C",1,2020
"277","C",1,2020
"278","C",1,2020
"279","C",1,2020
"280","C",1,2020
"281","C",0.988235294117647,2020
"282","C",1,2020
"283","C",1,2020
"284","C",1,2020
"285","C",1,2020
"286","C",1,2020
"287","C",0.988235294117647,2020
"288","C",1,2020
"289","C",1,2020
"290","C",1,2020
"291","C",1,2020
"292","C",1,2020
"293","C",1,2020
"294","C",1,2020
"295","C",1,2020
"296","C",1,2020
"297","C",1,2020
"298","C",0.988235294117647,2020
"299","C",1,2020
"300","C",0.988235294117647,2020
"301","C",1,2020
"302","C",1,2020
"303","C",1,2020
"304","C",1,2020
"305","C",0.988235294117647,2020
"306","C",1,2020
"307","C",1,2020
"308","C",1,2020
"309","C",1,2020
"310","C",0.988235294117647,2020
"311","C",1,2020
"312","C",1,2020
"313","C",1,2020
"314","C",1,2020
"315","C",1,2020
"316","C",0.988235294117647,2020
"317","C",1,2020
"318","C",1,2020
"319","C",1,2020
"320","C",1,2020
"321","C",0.988235294117647,2020
"322","C",1,2020
"323","C",1,2020
"324","C",1,2020
"325","C",1,2020
"326","C",1,2020
"327","C",1,2020
"328","C",1,2020
"329","C",1,2020
"330","C",1,2020
"331","C",1,2020
"332","C",1,2020
"333","C",1,2020
"334","C",0.988235294117647,2020
"335","C",0.988235294117647,2020
"336","C",1,2020
"337","C",1,2020
"338","C",1,2020
"339","C",0.988235294117647,2020
"340","C",1,2020
"341","C",1,2020
"342","C",1,2020
"343","C",1,2020
"344","C",1,2020
"345","C",1,2020
"346","C",1,2020
"347","C",1,2020
"348","C",0.988235294117647,2020
"349","C",1,2020
"350","C",1,2020
"351","C",1,2020
"352","C",1,2020
"353","C",1,2020
"354","C",1,2020
"355","C",1,2020
"356","C",1,2020
"357","C",1,2020
"358","C",1,2020
"359","C",1,2020
"360","C",1,2020
"361","C",1,2020
"362","C",1,2020
"363","C",0.976470588235294,2020
"364","C",0.988235294117647,2020
"365","C",1,2020
"366","C",1,2020
"367","C",1,2020
"368","C",1,2020
"369","C",1,2020
"370","C",1,2020
"371","C",1,2020
"372","C",1,2020
"373","C",1,2020
"374","C",1,2020
"375","C",1,2020
"376","C",1,2020
"377","C",1,2020
"378","C",1,2020
"379","C",1,2020
"380","C",1,2020
"381","C",1,2020
"382","C",1,2020
"383","C",1,2020
"384","C",1,2020
"385","C",0.988235294117647,2020
"386","C",1,2020
"387","C",1,2020
"388","C",0.988235294117647,2020
"389","C",1,2020
"390","C",0.988235294117647,2020
"391","C",1,2020
"392","C",1,2020
"393","C",1,2020
"394","C",1,2020
"395","C",0.988235294117647,2020
"396","C",1,2020
"397","C",1,2020
"398","C",1,2020
"399","C",1,2020
"400","C",1,2020
"401","C",1,2020
"402","C",1,2020
"403","C",1,2020
"404","C",0.988235294117647,2020
"405","C",1,2020
"406","C",0.988235294117647,2020
"407","C",1,2020
"408","C",1,2020
"409","C",1,2020
