"","reg","val","X","nCells"
"128","N",0.727807097276026,"NDVI_upper",10969
"129","N",0.728608379001601,"NDVI_upper",10969
"130","N",0.728793303548752,"NDVI_upper",10969
"131","N",0.727441302857764,"NDVI_upper",10969
"132","N",0.729409942245206,"NDVI_upper",10969
"133","N",0.728701132657087,"NDVI_upper",10969
"134","N",0.731153989658163,"NDVI_upper",10969
"135","N",0.729030861989117,"NDVI_upper",10969
"136","N",0.729552466160436,"NDVI_upper",10969
"137","N",0.727281852810854,"NDVI_upper",10969
"138","N",0.728941823670772,"NDVI_upper",10969
"139","N",0.727148048947685,"NDVI_upper",10969
"140","N",0.729447794888423,"NDVI_upper",10969
"141","N",0.725914482550662,"NDVI_upper",10969
"142","N",0.726806544056322,"NDVI_upper",10969
"143","N",0.728271997628225,"NDVI_upper",10969
"144","N",0.728162713484828,"NDVI_upper",10969
"145","N",0.729311899090605,"NDVI_upper",10969
"146","N",0.728588047395559,"NDVI_upper",10969
"147","N",0.727544415731041,"NDVI_upper",10969
"148","N",0.72880304114457,"NDVI_upper",10969
"149","N",0.727476958008378,"NDVI_upper",10969
"150","N",0.727905621451191,"NDVI_upper",10969
"151","N",0.727938716447183,"NDVI_upper",10969
"152","N",0.729134821584161,"NDVI_upper",10969
"153","N",0.728882733891103,"NDVI_upper",10969
"154","N",0.727508479353878,"NDVI_upper",10969
"155","N",0.732646472677424,"NDVI_upper",10969
"156","N",0.728794358276213,"NDVI_upper",10969
"157","N",0.728639814352428,"NDVI_upper",10969
"158","N",0.727221377260812,"NDVI_upper",10969
"159","N",0.731721953337643,"NDVI_upper",10969
"160","N",0.726934157374031,"NDVI_upper",10969
"161","N",0.727710081797745,"NDVI_upper",10969
"162","N",0.730687497681994,"NDVI_upper",10969
"163","N",0.727347655204003,"NDVI_upper",10969
"164","N",0.730011722248462,"NDVI_upper",10969
"165","N",0.729514647247907,"NDVI_upper",10969
"166","N",0.727796182049537,"NDVI_upper",10969
"167","N",0.728421243610721,"NDVI_upper",10969
"168","N",0.729136774621272,"NDVI_upper",10969
"169","N",0.729605817983426,"NDVI_upper",10969
"170","N",0.728199218320105,"NDVI_upper",10969
"171","N",0.727306528180115,"NDVI_upper",10969
"172","N",0.732274197124592,"NDVI_upper",10969
"173","N",0.72770580053731,"NDVI_upper",10969
"174","N",0.724350280640939,"NDVI_upper",10969
"175","N",0.730858862439144,"NDVI_upper",10969
"176","N",0.729626614981812,"NDVI_upper",10969
"177","N",0.727304221292943,"NDVI_upper",10969
"178","N",0.728464054889363,"NDVI_upper",10969
"179","N",0.729255389074493,"NDVI_upper",10969
"180","N",0.730655783892183,"NDVI_upper",10969
"181","N",0.727636868221229,"NDVI_upper",10969
"182","N",0.730379584859857,"NDVI_upper",10969
"183","N",0.730017914503704,"NDVI_upper",10969
"184","N",0.724913196145152,"NDVI_upper",10969
"185","N",0.727852796000162,"NDVI_upper",10969
"186","N",0.730362448345704,"NDVI_upper",10969
"187","N",0.730683258867015,"NDVI_upper",10969
"188","N",0.728194261484618,"NDVI_upper",10969
"189","N",0.729670223022604,"NDVI_upper",10969
"190","N",0.728066708949991,"NDVI_upper",10969
