"","reg","val","var_name","var_n_flater","flater","plots_pr_flate","plotsHeat_pr_flate"
"1","C",0.41414763937738,"Heat",33,33,8.66666666666667,8.48484848484848
"2","C",0.460937006855273,"Heat",33,33,8.66666666666667,8.48484848484848
"3","C",0.404622809095634,"Heat",33,33,8.66666666666667,8.48484848484848
"4","C",0.406095626885136,"Heat",33,33,8.66666666666667,8.48484848484848
"5","C",0.41189892597553,"Heat",33,33,8.66666666666667,8.48484848484848
"6","C",0.476080611423728,"Heat",33,33,8.66666666666667,8.48484848484848
"7","C",0.39722332444618,"Heat",33,33,8.66666666666667,8.48484848484848
"8","C",0.406339634663259,"Heat",33,33,8.66666666666667,8.48484848484848
"9","C",0.40983300041922,"Heat",33,33,8.66666666666667,8.48484848484848
"10","C",0.475770435603696,"Heat",33,33,8.66666666666667,8.48484848484848
"11","C",0.432676494187462,"Heat",33,33,8.66666666666667,8.48484848484848
"12","C",0.41201950221136,"Heat",33,33,8.66666666666667,8.48484848484848
"13","C",0.408371403294634,"Heat",33,33,8.66666666666667,8.48484848484848
"14","C",0.384387528892727,"Heat",33,33,8.66666666666667,8.48484848484848
"15","C",0.424539447907762,"Heat",33,33,8.66666666666667,8.48484848484848
"16","C",0.436522914453804,"Heat",33,33,8.66666666666667,8.48484848484848
"17","C",0.458872365425759,"Heat",33,33,8.66666666666667,8.48484848484848
"18","C",0.47452910005467,"Heat",33,33,8.66666666666667,8.48484848484848
"19","C",0.453205790482799,"Heat",33,33,8.66666666666667,8.48484848484848
"20","C",0.387544313154462,"Heat",33,33,8.66666666666667,8.48484848484848
"21","C",0.407549058433612,"Heat",33,33,8.66666666666667,8.48484848484848
"22","C",0.456117903913247,"Heat",33,33,8.66666666666667,8.48484848484848
"23","C",0.408332815804911,"Heat",33,33,8.66666666666667,8.48484848484848
"24","C",0.371195812607415,"Heat",33,33,8.66666666666667,8.48484848484848
"25","C",0.415779308982587,"Heat",33,33,8.66666666666667,8.48484848484848
"26","C",0.403141904476921,"Heat",33,33,8.66666666666667,8.48484848484848
"27","C",0.423506827185061,"Heat",33,33,8.66666666666667,8.48484848484848
"28","C",0.465980788692834,"Heat",33,33,8.66666666666667,8.48484848484848
"29","C",0.428107548202194,"Heat",33,33,8.66666666666667,8.48484848484848
"30","C",0.413645172956256,"Heat",33,33,8.66666666666667,8.48484848484848
"31","C",0.384834734325166,"Heat",33,33,8.66666666666667,8.48484848484848
"32","C",0.360868510286155,"Heat",33,33,8.66666666666667,8.48484848484848
"33","C",0.408698062949178,"Heat",33,33,8.66666666666667,8.48484848484848
"34","C",0.392293515519442,"Heat",33,33,8.66666666666667,8.48484848484848
"35","C",0.447332776017379,"Heat",33,33,8.66666666666667,8.48484848484848
"36","C",0.416743109865816,"Heat",33,33,8.66666666666667,8.48484848484848
"37","C",0.427983657076864,"Heat",33,33,8.66666666666667,8.48484848484848
"38","C",0.440341517178401,"Heat",33,33,8.66666666666667,8.48484848484848
"39","C",0.452207483224326,"Heat",33,33,8.66666666666667,8.48484848484848
