"","reg","val","plotsL1_tot","year"
"10001","C",0.967478779111924,41,2020
"10002","C",0.963974309882707,41,2020
"10003","C",0.977463220107244,41,2020
"10004","C",0.96793217820039,41,2020
"10005","C",0.972320310660914,41,2020
"10006","C",0.969215595239929,41,2020
"10007","C",0.968662219428483,41,2020
"10008","C",0.970188981198873,41,2020
"10009","C",0.960245206312149,41,2020
"10010","C",0.971128993537817,41,2020
"10011","C",0.968374014663768,41,2020
"10012","C",0.968729542210584,41,2020
"10013","C",0.963224231779759,41,2020
"10014","C",0.977112166304577,41,2020
"10015","C",0.960542777527506,41,2020
"10016","C",0.97654628140595,41,2020
"10017","C",0.96770970771025,41,2020
"10018","C",0.971261537455792,41,2020
"10019","C",0.977577762666584,41,2020
"10020","C",0.960512658405639,41,2020
"10021","C",0.967136637403119,41,2020
"10022","C",0.96221119625811,41,2020
"10023","C",0.973014695014359,41,2020
"10024","C",0.956080504831275,41,2020
"10025","C",0.972094793449782,41,2020
"10026","C",0.966180916927104,41,2020
"10027","C",0.970445146438176,41,2020
"10028","C",0.947341713074899,41,2020
"10029","C",0.965802408556566,41,2020
"10030","C",0.957202730733494,41,2020
"10031","C",0.974647347430768,41,2020
"10032","C",0.973228711504618,41,2020
"10033","C",0.968215641023834,41,2020
"10034","C",0.970457477578205,41,2020
"10035","C",0.957861612523829,41,2020
"10036","C",0.980392493781593,41,2020
"10037","C",0.971128140679346,41,2020
"10038","C",0.970717185640518,41,2020
"10039","C",0.974169888585423,41,2020
"10040","C",0.962245184446446,41,2020
"10041","C",0.968138730542836,41,2020
"10042","C",0.96748113916512,41,2020
"10043","C",0.972579272945206,41,2020
"10044","C",0.970561101532118,41,2020
"10045","C",0.963322474887314,41,2020
"10046","C",0.956229187049945,41,2020
"10047","C",0.968446332340772,41,2020
"10048","C",0.971706832286231,41,2020
"10049","C",0.95851507374538,41,2020
"10050","C",0.960489234298179,41,2020
"10051","C",0.965462389481543,41,2020
"10052","C",0.9657085759651,41,2020
"10053","C",0.956030010625804,41,2020
"10054","C",0.97846049527044,41,2020
"10055","C",0.977237779386504,41,2020
"10056","C",0.969150931970567,41,2020
"10057","C",0.983055215902331,41,2020
"10058","C",0.97077890806401,41,2020
"10059","C",0.959267090103662,41,2020
"10060","C",0.963104492885863,41,2020
"10061","C",0.962353568142901,41,2020
"10062","C",0.963856151836826,41,2020
"10063","C",0.974068529245102,41,2020
"10064","C",0.966250137834088,41,2020
"10065","C",0.96903806912041,41,2020
"10066","C",0.968154926728666,41,2020
"10067","C",0.97064952326196,41,2020
"10068","C",0.96546503068696,41,2020
"10069","C",0.965078714313883,41,2020
"10070","C",0.972783476005288,41,2020
"10071","C",0.961624016695211,41,2020
"10072","C",0.963075652839668,41,2020
"10073","C",0.971378066607108,41,2020
"10074","C",0.965012356470005,41,2020
"10075","C",0.975140992127923,41,2020
"10076","C",0.96158735896304,41,2020
"10077","C",0.971545289228225,41,2020
"10078","C",0.970192502955429,41,2020
"10079","C",0.963535118231346,41,2020
"10080","C",0.970602526195144,41,2020
"10081","C",0.970680218700305,41,2020
"10082","C",0.965462225192059,41,2020
"10083","C",0.969265523264662,41,2020
"10084","C",0.976536906268995,41,2020
"10085","C",0.965805166755542,41,2020
"10086","C",0.981396241865427,41,2020
"10087","C",0.9640648421792,41,2020
"10088","C",0.977622278574405,41,2020
"10089","C",0.977755591416968,41,2020
"10090","C",0.964463113556765,41,2020
"10091","C",0.971572376309087,41,2020
"10092","C",0.964190973141436,41,2020
