"reg","val"
"N",0.310472568044621
"N",0.317163389198629
"N",0.317361957497378
"N",0.311061806441154
"N",0.315324847062972
"N",0.306170388229805
"N",0.311130457572082
"N",0.316013775010119
"N",0.312378387657836
"N",0.317529266059051
"N",0.314964931905353
"N",0.309810529226135
"N",0.317242371764767
"N",0.31676544652709
"N",0.31152884065443
"N",0.319989024334516
"N",0.313150487318531
"N",0.310080820951426
"N",0.311647619757447
"N",0.314739491807228
"N",0.310493603215504
"N",0.313322280106161
"N",0.312632550464001
"N",0.315553063866466
"N",0.316507960385806
"N",0.313126370455472
"N",0.311687391514301
"N",0.313788253958737
"N",0.309059850667472
"N",0.31067732024878
"N",0.309925760473652
"N",0.306907980616864
"N",0.31224400158284
"N",0.31094373437076
"N",0.307535604412769
"N",0.308062246705026
"N",0.30697530676889
"N",0.313117032721732
"N",0.313835006151873
"N",0.308698939865492
"N",0.309933550633049
"N",0.309432128198845
"N",0.306818412309537
"N",0.310886775580141
"N",0.311876221797406
"N",0.315248025731511
"N",0.315713488650101
"N",0.312071718271772
"N",0.309896819299568
"N",0.310399568079726
"N",0.31259246244658
"N",0.308988528450026
"N",0.314628445206017
"N",0.313722361384106
"N",0.314039464590684
"N",0.31286155031965
"N",0.30990646918034
"N",0.309318081937594
"N",0.312556131062265
"N",0.311022879678069
"N",0.307198677923218
"N",0.309666389455371
"N",0.308525489632249
"N",0.313710111472986
"N",0.310755111755487
"N",0.305892456714128
"N",0.308225695159297
"N",0.313228248703137
"N",0.310737417029058
"N",0.312898422804282
"N",0.307796435633033
"N",0.311711907138495
"N",0.309793156995806
"N",0.30927439701702
"N",0.307783350524012
"N",0.308376207539206
"N",0.314078254194835
"N",0.313955772400749
"N",0.309340013488276
"N",0.310720645570299
"N",0.311448819618292
"N",0.307234468164116
"N",0.309000691894588
"N",0.310455350843766
"N",0.31495032468026
"N",0.310951863654856
"N",0.309204531362126
"N",0.30886472986789
"N",0.306421505900296
"N",0.309126636357125
"N",0.311690021761836
"N",0.306166970387125
"N",0.309069467319755
"N",0.308679638761732
"N",0.313921208900353
"N",0.312227957156731
"N",0.306502099501934
"N",0.303456033039116
"N",0.311553476856399
"N",0.310085932880595
"N",0.306311218203137
"N",0.313612358561395
"N",0.31107375671195
"N",0.308353389316572
"N",0.31143164586749
"N",0.312190995998773
"N",0.314068621518212
"N",0.30972674842392
"N",0.309686094342045
"N",0.313043766827506
"N",0.311030663568733
"N",0.311024161486087
"N",0.311584842163277
"N",0.309260608898639
"N",0.311631053571043
"N",0.310961462245782
"N",0.309102750208445
"N",0.311192158344155
"N",0.307500712159768
"N",0.308873011574764
"N",0.31166873020674
"N",0.310705222672065
"N",0.309564647860112
"N",0.309859750941629
"N",0.309288727657104
"N",0.31560643920739
"N",0.312500595003611
"N",0.314043135624131
"N",0.309406112974564
"N",0.312003217548927
"N",0.313041635955946
"N",0.317470895321825
"N",0.317679307629956
"N",0.309253879800754
"N",0.316431090098413
"N",0.314855596501386
"N",0.314832014204854
"N",0.31291346117958
"N",0.311673995448164
"N",0.311807224000442
"N",0.313662253331911
"N",0.311397289299672
"N",0.31112267542684
"N",0.313991162394065
"N",0.315584033120109
"N",0.319078748792395
"N",0.312185214849808
"N",0.308503011438855
"N",0.307628491384236
"N",0.307533449346689
"N",0.315604847925805
"N",0.311780201836615
"N",0.313205955461384
"N",0.311851868340563
"N",0.312455729071643
"N",0.316555600285817
"N",0.317364757474567
"N",0.313357485976503
"N",0.310284925255246
"N",0.315365901159626
"N",0.314750796907402
"N",0.312601946225193
"N",0.311962915580952
"N",0.315502357760244
"N",0.311542354576434
"N",0.315958602519789
"N",0.321008886870099
"N",0.313225123066878
"N",0.313031645509713
"N",0.309634906976073
"N",0.309861080011665
"N",0.313797725725968
"N",0.310339716179748
"N",0.313973118417168
"N",0.31400564496704
"N",0.309180717933227
"N",0.31390500081873
"N",0.307395559306553
"N",0.309592735104343
"N",0.313367455004006
"N",0.303889437734451
"N",0.301730669167007
"N",0.30545854383689
"N",0.308018404482142
"N",0.311901352939309
"N",0.309648944553704
"N",0.31298200389771
"N",0.313097955826044
"N",0.3103455460539
"N",0.309475510043609
"N",0.31173870605091
"N",0.308953930923078
"N",0.311487209072292
"N",0.307061779565914
"N",0.310994659053612
"N",0.310763035053105
"N",0.307701510149043
"N",0.315770585960412
"N",0.310055243667546
"N",0.312392888600215
"N",0.313066529771591
"N",0.310908782735769
"N",0.308918200563774
"N",0.309354651686859
"N",0.309260610261934
"N",0.309956809343328
"N",0.313739110880239
"N",0.312320172118913
"N",0.315018065186898
"N",0.315101548708197
"N",0.307095849790697
"N",0.310373264325866
"N",0.31064917059539
"N",0.308123967498866
"N",0.309366418352866
"N",0.312276061223091
"N",0.314537588855859
"N",0.312357091311551
"N",0.312254991896612
"N",0.310371046241417
"N",0.311218450890371
