ord;species;L;F;R;N;S;HM;T;K;TRU
P;Conium maculatum;8;5;7;8;0;NA;NA;NA;NA
P;Conopodium majus;6;5;5;5;0;NA;NA;NA;NA
P;Consolida ajacis;8;4;8;4;0;NA;NA;NA;NA
P;Convallaria majalis;5;5;6;5;0;NA;NA;NA;NA
P;Convolvulus arvensis;7;4;8;6;0;NA;NA;NA;NA
P;Conyza canadensis;7;4;7;6;0;NA;NA;NA;NA
P;Corallorhiza trifida;5;5;5;4;0;NA;NA;NA;NA
P;Coriandrum sativum;8;4;6;5;0;NA;NA;NA;NA
P;Coronopus didymus;9;5;6;7;0;NA;NA;NA;NA
P;Coronopus squamatus;7;5;7;7;0;NA;NA;NA;NA
P;Corrigiola litoralis;8;7;5;5;0;NA;NA;NA;NA
P;Corylus avellana;4;5;6;6;0;NA;NA;NA;NA
P;Corynephorus canescens;9;1;3;1;0;NA;NA;NA;NA
P;Cotoneaster bullatus;7;4;7;4;0;NA;NA;NA;NA
P;Cotoneaster cambricus;8;3;7;2;0;NA;NA;NA;NA
P;Cotoneaster horizontalis;8;3;8;4;0;NA;NA;NA;NA
P;Cotoneaster integrifolius;7;3;7;4;0;NA;NA;NA;NA
P;Cotoneaster simonsii;6;5;6;4;0;NA;NA;NA;NA
P;Crambe maritima;9;5;8;7;3;NA;NA;NA;NA
P;Tillaea aquatica;8;9;5;5;0;NA;NA;NA;NA
P;Crassula helmsii;7;10;6;7;0;NA;NA;NA;NA
P;Crassula tillaea;8;7;4;2;0;NA;NA;NA;NA
P;Crataegus laevigata;5;5;7;5;0;NA;NA;NA;NA
P;Crataegus monogyna;6;5;7;6;0;NA;NA;NA;NA
P;Crepis biennis;8;5;7;6;0;NA;NA;NA;NA
P;Crepis capillaris;7;4;7;4;0;NA;NA;NA;NA
P;Crepis foetida;9;4;6;3;0;NA;NA;NA;NA
P;Crepis mollis;8;5;7;5;0;NA;NA;NA;NA
P;Crepis paludosa;6;7;6;4;0;NA;NA;NA;NA
P;Crepis praemorsa;8;3;9;3;0;NA;NA;NA;NA
P;Crepis vesicaria;8;5;7;7;0;NA;NA;NA;NA
P;Crithmum maritimum;9;6;7;5;5;NA;NA;NA;NA
P;Crocosmia x crocosmiiflora;7;6;4;4;0;NA;NA;NA;NA
P;Cruciata laevipes;6;5;7;5;0;NA;NA;NA;NA
P;Cryptogramma crispa;7;5;2;3;0;NA;NA;NA;NA
P;Cuscuta epithymum;7;6;2;2;0;NA;NA;NA;NA
P;Cuscuta europaea;6;7;6;7;0;NA;NA;NA;NA
P;Cymbalaria muralis;7;5;7;6;0;NA;NA;NA;NA
P;Cynoglossum germanicum;6;5;8;7;0;NA;NA;NA;NA
P;Cynoglossum officinale;8;4;8;6;1;NA;NA;NA;NA
P;Cynosurus cristatus;7;5;6;4;0;NA;NA;NA;NA
P;Cyperus fuscus;9;8;5;4;0;NA;NA;NA;NA
P;Cyperus longus;8;9;7;5;0;NA;NA;NA;NA
P;Cypripedium calceolus;5;4;8;4;0;NA;NA;NA;NA
P;Cystopteris dickieana;5;7;8;2;0;NA;NA;NA;NA
P;Cystopteris fragilis;6;7;8;4;0;NA;NA;NA;NA
P;Cystopteris montana;5;7;9;2;0;NA;NA;NA;NA
P;Cytisus scoparius;8;5;4;4;0;NA;NA;NA;NA
P;Daboecia cantabrica;8;5;3;2;0;NA;NA;NA;NA
P;Dactylis glomerata;7;5;7;6;0;NA;NA;NA;NA
P;Dactylorhiza fuchsii;7;8;7;3;0;NA;NA;NA;NA
P;Dactylorhiza incarnata;8;9;6;2;0;NA;NA;NA;NA
P;Dactylorhiza lapponica;8;8;6;2;0;NA;NA;NA;NA
P;Dactylorhiza maculata;7;7;3;2;0;NA;NA;NA;NA
P;Dactylorhiza majalis;7;7;5;3;0;NA;NA;NA;NA
P;Dactylorhiza praetermissa;8;8;7;3;0;NA;NA;NA;NA
P;Dactylorhiza purpurella;8;8;7;2;1;NA;NA;NA;NA
P;Dactylorhiza traunsteineri;8;8;7;2;0;NA;NA;NA;NA
P;Damasonium alisma;8;10;5;3;0;NA;NA;NA;NA
P;Danthonia decumbens;7;6;4;2;0;NA;NA;NA;NA
P;Daphne laureola;4;5;7;5;0;NA;NA;NA;NA
P;Daphne mezereum;4;5;7;6;0;NA;NA;NA;NA
P;Daucus carota;8;4;7;3;2;NA;NA;NA;NA
P;Daucus carota (crop);7;5;7;8;0;NA;NA;NA;NA
P;Deschampsia cespitosa;6;6;5;4;0;NA;NA;NA;NA
P;Avenella flexuosa;6;5;2;3;0;NA;NA;NA;NA
P;Deschampsia setacea;8;9;2;1;0;NA;NA;NA;NA
P;Descurainia sophia;8;4;7;6;0;NA;NA;NA;NA
P;Dianthus armeria;8;5;5;3;0;NA;NA;NA;NA
P;Dianthus deltoides;8;3;5;2;0;NA;NA;NA;NA
P;Dianthus gratianopolitanus;9;2;7;1;0;NA;NA;NA;NA
P;Diapensia lapponica;9;3;4;1;0;NA;NA;NA;NA
P;Digitalis purpurea;6;6;4;5;0;NA;NA;NA;NA
P;Digitaria ischaemum;7;4;5;5;0;NA;NA;NA;NA
P;Digitaria sanguinalis;7;4;5;5;0;NA;NA;NA;NA
P;Diphasiastrum alpinum;7;5;2;2;0;NA;NA;NA;NA
P;Diphasiastrum complanatum;6;4;1;2;0;NA;NA;NA;NA
P;Diplotaxis muralis;8;4;7;6;1;NA;NA;NA;NA
P;Diplotaxis tenuifolia;8;5;7;6;1;NA;NA;NA;NA
P;Dipsacus fullonum;8;7;7;7;0;NA;NA;NA;NA
P;Dipsacus pilosus;7;6;8;7;0;NA;NA;NA;NA
P;Disphyma crassifolium;9;3;4;5;3;NA;NA;NA;NA
P;Doronicum pardalianches;4;5;6;5;0;NA;NA;NA;NA
P;Draba aizoides;8;4;9;3;0;NA;NA;NA;NA
P;Draba incana;8;5;7;2;0;NA;NA;NA;NA
P;Draba muralis;7;6;7;6;0;NA;NA;NA;NA
P;Draba norvegica;8;5;7;3;0;NA;NA;NA;NA
P;Drosera intermedia;8;9;2;1;0;NA;NA;NA;NA
P;Drosera longifolia;8;9;2;1;0;NA;NA;NA;NA
P;Drosera rotundifolia;8;9;2;1;0;NA;NA;NA;NA
P;Dryas octopetala;8;4;7;2;0;NA;NA;NA;NA
P;Dryopteris aemula;5;6;2;3;0;NA;NA;NA;NA
P;Dryopteris affinis;5;6;5;5;0;NA;NA;NA;NA
P;Dryopteris carthusiana;6;8;5;4;0;NA;NA;NA;NA
P;Dryopteris cristata;6;9;4;4;0;NA;NA;NA;NA
P;Dryopteris dilatata;5;6;4;5;0;NA;NA;NA;NA
P;Dryopteris expansa;7;6;3;2;0;NA;NA;NA;NA
P;Dryopteris filix-mas;5;6;5;5;0;NA;NA;NA;NA
P;Dryopteris oreades;7;5;2;2;0;NA;NA;NA;NA
P;Dryopteris submontana;8;5;9;3;0;NA;NA;NA;NA
P;Echium plantagineum;9;3;5;5;0;NA;NA;NA;NA
P;Echium vulgare;8;4;7;4;1;NA;NA;NA;NA
P;Elatine hexandra;7;10;5;4;0;NA;NA;NA;NA
P;Elatine hydropiper;7;10;5;5;0;NA;NA;NA;NA
P;Eleocharis acicularis;7;10;7;5;1;NA;NA;NA;NA
P;Eleocharis austriaca;8;10;5;5;0;NA;NA;NA;NA
P;Eleocharis multicaulis;8;10;4;1;0;NA;NA;NA;NA
P;Eleocharis palustris;8;10;6;4;1;NA;NA;NA;NA
P;Eleocharis parvula;6;10;7;5;3;NA;NA;NA;NA
P;Eleocharis quinqueflora;9;9;7;2;0;NA;NA;NA;NA
P;Eleocharis uniglumis;8;9;7;4;3;NA;NA;NA;NA
P;Eleogiton fluitans;8;11;4;2;0;NA;NA;NA;NA
P;Elodea canadensis;7;12;7;6;0;NA;NA;NA;NA
P;Elodea nuttallii;6;12;7;7;1;NA;NA;NA;NA
P;Elymus caninus;7;6;7;8;0;NA;NA;NA;NA
P;Elytrigia atherica;9;6;7;6;4;NA;NA;NA;NA
P;Elytrigia juncea;9;5;7;6;3;NA;NA;NA;NA
P;Elytrigia repens;7;5;7;7;2;NA;NA;NA;NA
P;Empetrum nigrum;7;6;2;1;0;NA;NA;NA;NA
P;Epilobium alsinifolium;8;9;6;4;0;NA;NA;NA;NA
P;Epilobium anagallidifolium;8;8;6;3;0;NA;NA;NA;NA
P;Epilobium brunnescens;7;8;4;3;0;NA;NA;NA;NA
P;Epilobium ciliatum;7;6;6;6;0;NA;NA;NA;NA
P;Epilobium hirsutum;7;8;7;7;0;NA;NA;NA;NA
P;Epilobium lanceolatum;7;5;6;5;0;NA;NA;NA;NA
P;Epilobium montanum;6;6;6;6;0;NA;NA;NA;NA
P;Epilobium obscurum;6;8;5;5;0;NA;NA;NA;NA
P;Epilobium palustre;7;8;5;3;0;NA;NA;NA;NA
P;Epilobium parviflorum;7;9;7;5;0;NA;NA;NA;NA
P;Epilobium roseum;6;8;7;7;0;NA;NA;NA;NA
P;Epilobium tetragonum;6;7;5;5;0;NA;NA;NA;NA
P;Epipactis atrorubens;7;4;8;1;0;NA;NA;NA;NA
P;Epipactis helleborine;4;5;7;4;0;NA;NA;NA;NA
P;Epipactis leptochila;3;4;9;4;0;NA;NA;NA;NA
P;Epipactis palustris;8;8;7;3;0;NA;NA;NA;NA
P;Epipactis phyllanthes;3;5;7;4;0;NA;NA;NA;NA
P;Epipactis purpurata;2;5;8;4;0;NA;NA;NA;NA
P;Epipactis youngiana;3;4;5;3;0;NA;NA;NA;NA
P;Epipogium aphyllum;2;5;7;4;0;NA;NA;NA;NA
P;Equisetum arvense;7;6;6;6;0;NA;NA;NA;NA
P;Equisetum fluviatile;8;10;6;4;0;NA;NA;NA;NA
P;Equisetum hyemale;5;7;7;6;0;NA;NA;NA;NA
P;Equisetum palustre;7;8;6;3;0;NA;NA;NA;NA
P;Equisetum pratense;7;7;5;4;0;NA;NA;NA;NA
P;Equisetum ramosissimum;8;4;8;5;0;NA;NA;NA;NA
P;Equisetum sylvaticum;5;8;5;5;0;NA;NA;NA;NA
P;Equisetum telmateia;6;8;7;6;0;NA;NA;NA;NA
P;Equisetum variegatum;8;8;8;3;0;NA;NA;NA;NA
P;Eranthis hyemalis;3;5;7;6;0;NA;NA;NA;NA
P;Erica ciliaris;8;7;1;1;0;NA;NA;NA;NA
P;Erica cinerea;7;5;2;2;0;NA;NA;NA;NA
P;Erica erigena;8;8;2;2;0;NA;NA;NA;NA
P;Erica mackaiana;8;8;2;1;0;NA;NA;NA;NA
P;Erica tetralix;8;8;2;1;0;NA;NA;NA;NA
P;Erica vagans;8;6;4;1;0;NA;NA;NA;NA
P;Erigeron acer;8;5;7;3;0;NA;NA;NA;NA
P;Erigeron borealis;9;5;7;2;0;NA;NA;NA;NA
P;Erigeron karvinskianus;8;3;7;2;0;NA;NA;NA;NA
P;Erinus alpinus;8;3;8;2;0;NA;NA;NA;NA
P;Eriocaulon aquaticum;8;11;4;1;0;NA;NA;NA;NA
P;Eriophorum angustifolium;8;9;4;1;0;NA;NA;NA;NA
P;Eriophorum gracile;8;9;4;2;0;NA;NA;NA;NA
P;Eriophorum latifolium;9;9;7;2;0;NA;NA;NA;NA
P;Eriophorum vaginatum;8;8;2;1;0;NA;NA;NA;NA
P;Erodium cicutarium;8;4;6;4;0;NA;NA;NA;NA
P;Erodium lebelii;8;4;7;2;0;NA;NA;NA;NA
P;Erodium maritimum;9;4;6;6;3;NA;NA;NA;NA
P;Erodium moschatum;7;4;6;5;0;NA;NA;NA;NA
P;Erophila glabrescens;8;3;7;3;0;NA;NA;NA;NA
P;Erophila majuscula;8;3;7;3;0;NA;NA;NA;NA
P;Draba verna;8;3;6;3;0;NA;NA;NA;NA
P;Erucastrum gallicum;8;4;7;7;0;NA;NA;NA;NA
P;Eryngium campestre;9;3;8;3;0;NA;NA;NA;NA
P;Eryngium maritimum;9;4;6;5;3;NA;NA;NA;NA
P;Erysimum cheiranthoides;7;5;7;7;0;NA;NA;NA;NA
P;Erysimum cheiri;8;4;8;5;1;NA;NA;NA;NA
P;Euonymus europaeus;5;5;8;5;0;NA;NA;NA;NA
P;Eupatorium cannabinum;7;8;6;7;0;NA;NA;NA;NA
P;Euphorbia amygdaloides;4;5;6;6;0;NA;NA;NA;NA
P;Euphorbia cyparissias;8;3;7;3;0;NA;NA;NA;NA
P;Euphorbia exigua;6;4;7;5;0;NA;NA;NA;NA
P;Euphorbia helioscopia;7;5;6;6;0;NA;NA;NA;NA
P;Euphorbia hyberna;5;5;5;4;0;NA;NA;NA;NA
P;Euphorbia lathyris;6;5;7;5;0;NA;NA;NA;NA
P;Euphorbia paralias;9;4;7;5;3;NA;NA;NA;NA
P;Euphorbia peplis;9;4;7;5;3;NA;NA;NA;NA
P;Euphorbia peplus;7;4;7;6;0;NA;NA;NA;NA
P;Euphorbia platyphyllos;7;5;7;5;0;NA;NA;NA;NA
P;Euphorbia portlandica;8;3;7;3;3;NA;NA;NA;NA
P;Euphorbia serrulata;5;6;8;5;0;NA;NA;NA;NA
P;Euphorbia x pseudovirgata;8;4;8;5;0;NA;NA;NA;NA
P;Euphrasia anglica;7;5;5;3;0;NA;NA;NA;NA
P;Euphrasia arctica;7;5;6;4;0;NA;NA;NA;NA
P;Euphrasia cambrica;8;5;5;2;0;NA;NA;NA;NA
P;Euphrasia campbelliae;8;6;4;2;0;NA;NA;NA;NA
P;Euphrasia confusa;8;5;6;2;0;NA;NA;NA;NA
P;Euphrasia foulaensis;8;6;6;4;1;NA;NA;NA;NA
P;Euphrasia frigida;8;6;4;2;0;NA;NA;NA;NA
P;Euphrasia heslop-harrisonii;8;7;6;4;3;NA;NA;NA;NA
P;Euphrasia marshallii;8;5;6;3;1;NA;NA;NA;NA
P;Euphrasia micrantha;7;5;2;2;0;NA;NA;NA;NA
P;Euphrasia nemorosa;7;5;6;4;0;NA;NA;NA;NA
P;Euphrasia stricta;8;5;5;3;0;NA;NA;NA;NA
P;Euphrasia ostenfeldii;9;4;5;2;0;NA;NA;NA;NA
P;Euphrasia pseudokerneri;7;4;8;3;0;NA;NA;NA;NA
P;Euphrasia rivularis;7;7;7;3;0;NA;NA;NA;NA
P;Euphrasia rostkoviana;7;5;5;3;0;NA;NA;NA;NA
P;Euphrasia rotundifolia;8;4;7;2;1;NA;NA;NA;NA
P;Euphrasia salisburgensis;7;5;8;4;0;NA;NA;NA;NA
P;Euphrasia scottica;8;5;5;2;0;NA;NA;NA;NA
P;Euphrasia tetraquetra;8;6;6;3;3;NA;NA;NA;NA
P;Euphrasia vigursii;7;5;4;3;0;NA;NA;NA;NA
P;Exaculum pusillum;9;8;3;2;1;NA;NA;NA;NA
P;Fagopyrum esculentum;8;6;7;7;0;NA;NA;NA;NA
P;Fagus sylvatica;3;5;5;5;0;NA;NA;NA;NA
P;Fallopia convolvulus;7;4;7;5;0;NA;NA;NA;NA
P;Fallopia dumetorum;6;5;6;7;0;NA;NA;NA;NA
P;Fallopia japonica;6;7;6;6;0;NA;NA;NA;NA
P;Fallopia sachalinensis;6;5;6;7;0;NA;NA;NA;NA
P;Festuca altissima;3;5;4;5;0;NA;NA;NA;NA
P;Festuca arenaria;8;4;5;3;3;NA;NA;NA;NA
P;Festuca armoricana;8;3;6;3;1;NA;NA;NA;NA
P;Festuca arundinacea;8;6;7;6;1;NA;NA;NA;NA
P;Festuca filiformis;8;4;3;2;0;NA;NA;NA;NA
P;Festuca gigantea;5;6;7;7;0;NA;NA;NA;NA
P;Festuca huonii;8;5;4;3;1;NA;NA;NA;NA
P;Festuca lemanii;8;4;7;2;0;NA;NA;NA;NA
P;Festuca longifolia;8;3;5;2;0;NA;NA;NA;NA
P;Festuca ovina;7;5;4;2;0;NA;NA;NA;NA
P;Festuca rubra;8;5;6;5;2;NA;NA;NA;NA
P;Festuca vivipara;8;6;3;2;0;NA;NA;NA;NA
P;Festulolium loliaceum;8;6;7;6;1;NA;NA;NA;NA
P;Filago gallica;9;2;5;2;0;NA;NA;NA;NA
P;Filago lutescens;9;3;4;2;0;NA;NA;NA;NA
P;Filago minima;8;3;4;2;0;NA;NA;NA;NA
P;Filago pyramidata;9;4;7;3;0;NA;NA;NA;NA
P;Filago vulgaris;7;4;6;4;0;NA;NA;NA;NA
P;Filipendula ulmaria;7;8;6;5;0;NA;NA;NA;NA
P;Filipendula vulgaris;7;4;8;2;0;NA;NA;NA;NA
P;Foeniculum vulgare;9;5;8;5;3;NA;NA;NA;NA
P;Fragaria ananassa;6;5;8;7;0;NA;NA;NA;NA
P;Fragaria vesca;6;5;6;4;0;NA;NA;NA;NA
P;Frangula alnus;6;8;5;5;0;NA;NA;NA;NA
P;Frankenia laevis;9;8;8;5;5;NA;NA;NA;NA
P;Fraxinus excelsior;5;6;7;6;0;NA;NA;NA;NA
P;Fritillaria meleagris;8;8;7;4;0;NA;NA;NA;NA
P;Fuchsia magellanica;6;6;5;5;0;NA;NA;NA;NA
P;Fumaria bastardii;8;4;6;6;0;NA;NA;NA;NA
P;Fumaria capreolata;7;4;6;7;0;NA;NA;NA;NA
P;Fumaria densiflora;8;3;8;5;0;NA;NA;NA;NA
P;Fumaria muralis;7;5;6;6;0;NA;NA;NA;NA
P;Fumaria occidentalis;7;4;6;5;0;NA;NA;NA;NA
P;Fumaria officinalis;6;5;7;6;0;NA;NA;NA;NA
P;Fumaria parviflora;8;4;8;5;0;NA;NA;NA;NA
P;Fumaria purpurea;7;4;6;5;0;NA;NA;NA;NA
P;Fumaria reuteri;8;4;6;5;0;NA;NA;NA;NA
P;Fumaria vaillantii;8;3;8;5;0;NA;NA;NA;NA
P;Gagea bohemica;9;2;5;2;0;NA;NA;NA;NA
P;Gagea lutea;4;6;7;7;0;NA;NA;NA;NA
P;Galanthus nivalis;5;6;7;7;0;NA;NA;NA;NA
P;Galega officinalis;8;5;7;8;0;NA;NA;NA;NA
P;Galeopsis angustifolia;8;2;8;4;0;NA;NA;NA;NA
P;Galeopsis bifida;7;5;6;6;0;NA;NA;NA;NA
P;Galeopsis segetum;7;4;3;3;0;NA;NA;NA;NA
P;Galeopsis speciosa;7;5;7;7;0;NA;NA;NA;NA
P;Galeopsis tetrahit;7;5;6;6;0;NA;NA;NA;NA
P;Galinsoga ciliata;7;5;6;6;0;NA;NA;NA;NA
P;Galinsoga parviflora;7;4;6;7;0;NA;NA;NA;NA
P;Galium aparine;6;6;7;8;0;NA;NA;NA;NA
P;Galium boreale;7;5;7;3;0;NA;NA;NA;NA
P;Galium constrictum;8;9;3;2;0;NA;NA;NA;NA
P;Galium mollugo;7;4;7;4;0;NA;NA;NA;NA
P;Galium odoratum;3;5;7;6;0;NA;NA;NA;NA
P;Galium palustre;7;9;5;4;0;NA;NA;NA;NA
P;Galium parisiense;8;3;7;2;0;NA;NA;NA;NA
P;Galium pumilum;7;4;8;3;0;NA;NA;NA;NA
P;Galium saxatile;6;6;3;3;0;NA;NA;NA;NA
P;Galium spurium;7;5;8;5;0;NA;NA;NA;NA
P;Galium sterneri;9;4;7;1;0;NA;NA;NA;NA
P;Galium tricornutum;7;4;7;4;0;NA;NA;NA;NA
P;Galium uliginosum;7;9;6;4;0;NA;NA;NA;NA
P;Galium verum;7;4;6;2;0;NA;NA;NA;NA
P;Gastridium ventricosum;9;3;8;2;0;NA;NA;NA;NA
P;Gaudinia fragilis;8;5;6;6;0;NA;NA;NA;NA
P;Gaultheria shallon;3;4;4;3;0;NA;NA;NA;NA
P;Genista anglica;8;5;3;2;0;NA;NA;NA;NA
P;Genista pilosa;8;5;4;1;0;NA;NA;NA;NA
P;Genista tinctoria;8;6;7;2;0;NA;NA;NA;NA
P;Gentiana nivalis;9;5;7;3;0;NA;NA;NA;NA
P;Gentiana pneumonanthe;8;7;4;1;0;NA;NA;NA;NA
P;Gentiana verna;8;4;8;1;0;NA;NA;NA;NA
P;Gentianella amarella;8;4;8;2;0;NA;NA;NA;NA
P;Gentianella anglica;8;3;8;2;0;NA;NA;NA;NA
P;Gentianella campestris;8;6;6;3;1;NA;NA;NA;NA
P;Gentianella ciliata;8;3;8;2;0;NA;NA;NA;NA
P;Gentianella germanica;7;4;8;3;0;NA;NA;NA;NA
P;Gentianella uliginosa;8;8;7;2;0;NA;NA;NA;NA
P;Geranium columbinum;7;4;7;7;0;NA;NA;NA;NA
P;Geranium dissectum;7;5;7;6;0;NA;NA;NA;NA
P;Geranium lucidum;6;4;7;6;0;NA;NA;NA;NA
P;Geranium molle;7;5;6;5;0;NA;NA;NA;NA
P;Geranium pratense;7;6;7;7;0;NA;NA;NA;NA
P;Geranium purpureum;7;3;6;3;1;NA;NA;NA;NA
P;Geranium pusillum;7;4;7;7;0;NA;NA;NA;NA
P;Geranium pyrenaicum;8;4;7;6;0;NA;NA;NA;NA
P;Geranium robertianum;5;6;6;6;0;NA;NA;NA;NA
P;Geranium rotundifolium;7;4;7;6;0;NA;NA;NA;NA
P;Geranium sanguineum;7;4;7;3;0;NA;NA;NA;NA
P;Geranium sylvaticum;6;5;6;5;0;NA;NA;NA;NA
P;Geum rivale;6;7;6;4;0;NA;NA;NA;NA
P;Geum urbanum;4;6;7;7;0;NA;NA;NA;NA
P;Gladiolus communis;7;4;5;4;0;NA;NA;NA;NA
P;Gladiolus illyricus;5;4;5;3;0;NA;NA;NA;NA
P;Glaucium flavum;9;5;8;6;3;NA;NA;NA;NA
P;Glaux maritima;8;7;7;5;4;NA;NA;NA;NA
P;Glechoma hederacea;6;6;7;7;0;NA;NA;NA;NA
P;Glyceria declinata;7;8;6;6;0;NA;NA;NA;NA
P;Glyceria fluitans;7;10;6;6;0;NA;NA;NA;NA
P;Glyceria maxima;7;10;7;8;0;NA;NA;NA;NA
P;Glyceria notata;7;10;6;7;0;NA;NA;NA;NA
P;Glyceria x pedicellata;7;10;7;6;0;NA;NA;NA;NA
P;Gnaphalium luteoalbum;9;7;5;3;0;NA;NA;NA;NA
P;Omalotheca norvegica;8;5;4;4;0;NA;NA;NA;NA
P;Omalotheca supina;8;7;3;3;0;NA;NA;NA;NA
P;Omalotheca sylvatica;7;6;4;3;0;NA;NA;NA;NA
P;Gnaphalium uliginosum;7;6;6;5;0;NA;NA;NA;NA
P;Goodyera repens;5;5;3;2;0;NA;NA;NA;NA
P;Groenlandia densa;8;12;8;5;1;NA;NA;NA;NA
P;Gymnadenia conopsea;7;6;7;3;0;NA;NA;NA;NA
P;Gymnocarpium dryopteris;4;5;4;4;0;NA;NA;NA;NA
P;Gymnocarpium robertianum;7;3;8;4;0;NA;NA;NA;NA
P;Hammarbya paludosa;9;9;2;1;0;NA;NA;NA;NA
P;Hedera helix;4;5;7;6;0;NA;NA;NA;NA
P;Helianthemum apenninum;8;1;8;1;0;NA;NA;NA;NA
P;Helianthemum canum;8;3;8;1;0;NA;NA;NA;NA
P;Helianthemum nummularium;7;4;7;2;0;NA;NA;NA;NA
P;Helianthus annuus;7;6;5;7;0;NA;NA;NA;NA
P;Helianthus tuberosus;7;7;8;8;0;NA;NA;NA;NA
P;Avenula pratensis;7;4;7;2;0;NA;NA;NA;NA
P;Avenula pubescens;7;4;7;3;0;NA;NA;NA;NA
P;Helleborus foetidus;5;4;8;3;0;NA;NA;NA;NA
P;Helleborus viridis;3;5;8;6;0;NA;NA;NA;NA
P;Heracleum mantegazzianum;7;6;6;8;0;NA;NA;NA;NA
P;Heracleum sphondylium;7;5;7;7;0;NA;NA;NA;NA
P;Herminium monorchis;8;5;8;2;0;NA;NA;NA;NA
P;Herniaria ciliolata;9;4;5;1;2;NA;NA;NA;NA
P;Herniaria glabra;8;5;6;2;0;NA;NA;NA;NA
P;Hesperis matronalis;7;7;7;7;0;NA;NA;NA;NA
P;Hierochloe odorata;6;9;7;2;0;NA;NA;NA;NA
P;Himantoglossum hircinum;7;3;9;2;0;NA;NA;NA;NA
P;Hippocrepis comosa;8;3;8;2;0;NA;NA;NA;NA
P;Hippophae rhamnoides;8;5;7;5;3;NA;NA;NA;NA
P;Hippuris vulgaris;7;10;6;4;1;NA;NA;NA;NA
P;Hirschfeldia incana;8;3;7;5;0;NA;NA;NA;NA
P;Holcus lanatus;7;6;6;5;0;NA;NA;NA;NA
P;Holcus mollis;6;6;3;3;0;NA;NA;NA;NA
P;Homogyne alpina;6;6;4;2;0;NA;NA;NA;NA
P;Honckenya peploides;9;5;7;6;3;NA;NA;NA;NA
P;Hordelymus europaeus;6;4;7;7;0;NA;NA;NA;NA
P;Hordeum distichon;8;4;7;7;0;NA;NA;NA;NA
P;Hordeum marinum;9;6;8;6;4;NA;NA;NA;NA
P;Hordeum murinum;8;4;7;6;0;NA;NA;NA;NA
P;Hordeum secalinum;8;6;7;6;1;NA;NA;NA;NA
P;Hordeum vulgare;9;4;7;7;0;NA;NA;NA;NA
P;Hornungia petraea;9;2;8;1;0;NA;NA;NA;NA
P;Hottonia palustris;7;11;7;5;0;NA;NA;NA;NA
P;Humulus lupulus;6;7;7;8;0;NA;NA;NA;NA
P;Huperzia selago;7;6;2;2;0;NA;NA;NA;NA
P;Hyacinthoides hispanica;5;4;6;6;0;NA;NA;NA;NA
P;Hyacinthoides non-scripta;5;5;5;6;0;NA;NA;NA;NA
P;Hydrilla verticillata;6;12;9;3;0;NA;NA;NA;NA
P;Hydrocharis morsus-ranae;7;11;7;7;0;NA;NA;NA;NA
P;Hydrocotyle vulgaris;8;8;6;3;1;NA;NA;NA;NA
P;Hymenophyllum tunbrigense;4;6;2;3;0;NA;NA;NA;NA
P;Hymenophyllum wilsonii;5;5;3;3;0;NA;NA;NA;NA
P;Hyoscyamus niger;8;4;7;9;0;NA;NA;NA;NA
P;Hypericum androsaemum;5;6;6;5;0;NA;NA;NA;NA
P;Hypericum calycinum;5;7;5;5;0;NA;NA;NA;NA
P;Hypericum canadense;8;9;2;2;0;NA;NA;NA;NA
P;Hypericum elodes;8;10;3;2;0;NA;NA;NA;NA
P;Hypericum hirsutum;6;5;7;5;0;NA;NA;NA;NA
P;Hypericum humifusum;7;6;4;3;0;NA;NA;NA;NA
P;Hypericum linariifolium;7;3;3;2;0;NA;NA;NA;NA
P;Hypericum maculatum;6;6;5;5;0;NA;NA;NA;NA
P;Hypericum montanum;7;4;8;2;0;NA;NA;NA;NA
P;Hypericum perforatum;7;4;7;5;0;NA;NA;NA;NA
P;Hypericum pulchrum;6;5;4;3;0;NA;NA;NA;NA
P;Hypericum tetrapterum;7;8;6;4;0;NA;NA;NA;NA
P;Hypericum undulatum;8;8;4;2;0;NA;NA;NA;NA
P;Hypochaeris glabra;8;4;4;2;0;NA;NA;NA;NA
P;Hypochaeris maculata;8;4;8;3;0;NA;NA;NA;NA
P;Hypochaeris radicata;8;4;5;3;0;NA;NA;NA;NA
P;Iberis amara;7;4;8;3;0;NA;NA;NA;NA
P;Ilex aquifolium;5;5;5;5;0;NA;NA;NA;NA
P;Illecebrum verticillatum;8;7;3;2;0;NA;NA;NA;NA
P;Impatiens capensis;7;9;7;6;0;NA;NA;NA;NA
P;Impatiens glandulifera;6;8;7;7;0;NA;NA;NA;NA
P;Impatiens noli-tangere;4;7;7;6;0;NA;NA;NA;NA
P;Impatiens parviflora;4;5;7;8;0;NA;NA;NA;NA
P;Inula conyzae;7;3;8;3;0;NA;NA;NA;NA
P;Inula crithmoides;9;6;7;5;5;NA;NA;NA;NA
P;Inula helenium;6;6;6;5;0;NA;NA;NA;NA
P;Inula salicina;8;6;9;3;0;NA;NA;NA;NA
P;Iris foetidissima;5;4;8;5;0;NA;NA;NA;NA
P;Iris germanica;8;4;6;4;0;NA;NA;NA;NA
P;Iris pseudacorus;7;9;6;6;1;NA;NA;NA;NA
P;Isoetes echinospora;7;12;5;2;0;NA;NA;NA;NA
P;Isoetes histrix;8;7;5;1;0;NA;NA;NA;NA
P;Isoetes lacustris;7;12;4;1;0;NA;NA;NA;NA
