ord;species;L;F;R;N;S;HM;T;K;TRU
P;Antirrhinum majus;8;3;7;5;0;NA;NA;NA;NA
P;Apera interrupta;9;5;8;6;3;NA;NA;NA;NA
P;Apera spica-venti;7;4;5;5;0;NA;NA;NA;NA
P;Aphanes arvensis;8;4;6;4;0;NA;NA;NA;NA
P;Aphanes inexspectata;7;4;5;4;0;NA;NA;NA;NA
P;Apium graveolens;8;8;7;7;2;NA;NA;NA;NA
P;Apium inundatum;7;10;6;4;0;NA;NA;NA;NA
P;Apium nodiflorum;7;10;7;7;0;NA;NA;NA;NA
P;Apium repens;9;9;7;7;0;NA;NA;NA;NA
P;Aquilegia vulgaris;6;4;6;5;0;NA;NA;NA;NA
P;Arabidopsis thaliana;8;3;6;2;0;NA;NA;NA;NA
P;Arabis alpina;7;5;7;3;0;NA;NA;NA;NA
P;Turritis glabra;7;3;8;5;0;NA;NA;NA;NA
P;Arabis hirsuta;7;5;8;3;0;NA;NA;NA;NA
P;Arabis petraea;9;3;8;1;0;NA;NA;NA;NA
P;Arabis scabra;7;3;8;2;0;NA;NA;NA;NA
P;Arbutus unedo;6;5;7;2;0;NA;NA;NA;NA
P;Arctium lappa;9;5;7;9;0;NA;NA;NA;NA
P;Arctium minus;6;4;7;5;0;NA;NA;NA;NA
P;Arctostaphylos alpinus;7;6;2;2;0;NA;NA;NA;NA
P;Arctostaphylos uva-ursi;7;5;2;2;0;NA;NA;NA;NA
P;Arenaria ciliata;9;5;8;2;0;NA;NA;NA;NA
P;Arenaria norvegica;9;3;8;2;0;NA;NA;NA;NA
P;Arenaria serpyllifolia;8;3;7;5;0;NA;NA;NA;NA
P;Armeria arenaria;8;3;6;2;0;NA;NA;NA;NA
P;Armeria maritima;8;7;5;5;3;NA;NA;NA;NA
P;Armoracia rusticana;8;5;7;7;0;NA;NA;NA;NA
P;Arrhenatherum elatius;7;5;7;7;0;NA;NA;NA;NA
P;Artemisia absinthium;7;4;7;9;0;NA;NA;NA;NA
P;Artemisia campestris;8;3;6;5;0;NA;NA;NA;NA
P;Artemisia norvegica;9;4;4;1;0;NA;NA;NA;NA
P;Artemisia vulgaris;7;4;8;7;0;NA;NA;NA;NA
P;Arum italicum;4;5;6;6;0;NA;NA;NA;NA
P;Arum maculatum;4;5;7;7;0;NA;NA;NA;NA
P;Asparagus officinalis;7;5;6;5;2;NA;NA;NA;NA
P;Asparagus prostratus;8;4;6;3;3;NA;NA;NA;NA
P;Asperula cynanchica;7;3;8;2;0;NA;NA;NA;NA
P;Asplenium adiantum-nigrum;6;4;5;5;0;NA;NA;NA;NA
P;Asplenium marinum;9;6;5;5;3;NA;NA;NA;NA
P;Asplenium obovatum;5;5;4;3;0;NA;NA;NA;NA
P;Asplenium onopteris;5;5;7;3;0;NA;NA;NA;NA
P;Asplenium ruta-muraria;7;3;7;2;0;NA;NA;NA;NA
P;Asplenium septentrionale;8;3;2;2;0;NA;NA;NA;NA
