Scientific_name	Family	Svenskt_namn	Dyntaxa_ID_number	Establishment	Red-listed	Time_of_immigration	Index_of_invasive_concern	Biodiversity_relevance	Nectar_production	Heat_requirement	Cold_requirement	Temp_optimum	Continentality	Light	Moisture	Soil_reaction_pH	Nitrogen	Phosphorus	Salinity	Grazing_mowing	Soil_disturbance	Longevity	Pollinator_dependence	Phenology	Extreme_phenology	Seed_dormancy	Seed_bank	Seed_disperser	Nitrogen_fixation	Photosynthetic_pathway	Mycorrhiza	Carnivory	Parasitism
Abies alba Mill.	Pinaceae	silvergran	222135	Resident	Not Red-listed	5	14	5	1	10	3	5	3	2	5	5	5	3	1	1	1	4	0b			4		AirW	0	C3	EM	0	0
Abies grandis (Douglas ex D. Don) Lindl.	Pinaceae	kustgran	222138	Non-resident	Not Red-listed			5	1	10	4	6	4	3			5	3	1	1	1	4	0b			4		AirW	0	C3	EM	0	0
Acer campestre L.	Sapindaceae	naverlönn	5	Resident	CR	0	0	6	6	13	2	3	5	4	4	6	6	3	1	2	5	4	0c	6	3	4	1	AirW	0	C3	AM/EM	0	0
Acer negundo L.	Sapindaceae	asklönn	223314	Non-resident	Not Red-listed			2		10	3	5	7					3	1	2		4	0b			4		AirW	0	C3	AM/EM	0	0
Acer platanoides L.	Sapindaceae	skogslönn	223315	Resident	Not Red-listed	0	0	5	6	9	4	7	5	4	4	6	5	3	1	2	5	4	2	5	4	4	1	AirW	0	C3	AM/EM	0	0
Acer pseudoplatanus L.	Sapindaceae	tysklönn	223316	Resident	Not Red-listed	3	14,2	6	5	12	3	4	3	4	5	6	7	3	1	3	3	4	0c	6	3	4	1	AirW	0	C3	AM/EM	0	0
Acer tataricum L.	Sapindaceae	tatarlönn	223319	Non-resident	Not Red-listed			3	5	10	4	6	5				6	3	1	2		4	2			2		AirW	0	C3	AM/EM	0	0
Achillea crithmifolia Waldst. & Kit.	Asteraceae	kamröllika	219899	Resident	Not Red-listed	5	13,6	1	6	12			6	7	2	5	4	3	1	3		4	2			2		Passive	0	C3	AM	0	0
Achillea filipendulina Lam.	Asteraceae	praktröllika	219902	Resident	Not Red-listed	4	13,6	4	6	12	3	4	8	6	2	6	4	4	2	3		4	2	10	3	2		Passive	0	C3	AM	0	0
Achillea millefolium L.	Asteraceae	röllika	219906	Resident	Not Red-listed	0	0	6	6	3	3	9	5	6	2	5	5	5	2	5	2	4	2	8	1	2	3	Myr	0	C3	AM	0	0
Achillea ptarmica L.	Asteraceae	nysört	219909	Resident	Not Red-listed	0	0	5	6	4	3	8	4	5	6	4	4	3	1	4	2	4	2	9	2	2	2	Passive	0	C3	AM	0	0
Aconitum × stoerkianum Rchb.	Ranunculaceae	trädgårdsstormhatt	222767	Resident	Not Red-listed	3	10	2	6	7	4	8	5	5	7	5	6	3	1	3	3	4	0a	11	4	X		Passive	0	C3	AM	0	0
Aconitum lycoctonum L.	Ranunculaceae	vargstormhatt	219914	Resident	Not Red-listed	0	0	2	6	3	11	14	6	4	5	7	7	5	1	3	2	4	1b			4		Passive	0	C3	AM	0	0
Aconitum napellus L.	Ranunculaceae	äkta stormhatt	6	Resident	CR	1	4	3	6	9	3	6	4	5	7	6	6	4	1	3	3	4		11	4	3		Passive	0	C3	AM	0	0
Aconogonon × fennicum Reiersen	Polygonaceae	finnslide	220614	Non-resident	Not Red-listed			1	5	8	15	13	5	5	6	4	7	5	1	1		4	0c	9	2	X		Veg	0	C3	None	0	0
Aconogonon alpinum (All.) Schur	Polygonaceae	alpslide	222769	Resident	Not Red-listed	5	9,5	1	5	6	7	10	4	6	5	4	6	5	1	1		4						Passive	0	C3	None	0	0
Aconogonon divaricatum (L.) Nakai	Polygonaceae	vippslide	220615	Resident	Not Red-listed	5	11,3	1	5	8	1	7	8	6	6	4	6	5	1	1		4		11	4	2		Passive	0	C3	None	0	0
Aconogonon weyrichii (F. Schmidt ex Maxim.) H. Hara	Polygonaceae	gråslide	220616	Non-resident	Not Red-listed			1	5	8	7	9	7	5	6	4	7	5	1	1		4		8	1	X		Veg	0	C3	None	0	0
Acorus calamus L.	Acoraceae	kalmus	220617	Resident	Not Red-listed	1	4	1	2	10	1	3	5	5	10	5	7	5	1	3	1	4	0a	9	2	X		Veg	0	C3	AM	0	0
Actaea erythrocarpa (Fisch.) Kom.	Ranunculaceae	röd trolldruva	8	Resident	NT	0	0	1	2	4	12	14	9	3	6	7	6	3	1	1	3	4	1			3		Bird	0	C3	AM	0	0
Actaea rubra (Aiton) Willd.	Ranunculaceae	amerikansk trolldruva	222770	Resident	Not Red-listed	6	18,8	1	2	8	10	11	8	3	4	5	6	3	1	1	3	4	1			3		Bird	0	C3	AM	0	0
Actaea spicata L.	Ranunculaceae	svart trolldruva	222771	Resident	Not Red-listed	0	0	2	2	5	4	9	4	2	3	6	6	3	1	1	3	4	1	7	2	3	1	Bird	0	C3	AM	0	0
Adonis vernalis L.	Ranunculaceae	våradonis	9	Resident	NT	0	0	1	3	13	4	5	9	6	3	8	3	2	1	5		4	1	5	4	3	1	Myr	0	C3	AM	0	0
Adoxa moschatellina L.	Adoxaceae	desmeknopp	222776	Resident	NT	0	0	2	3	4	3	8	7	3	5	6	8	5	1	6	6	4	1	4	5		1	Bird	0	C3	AM	0	0
Aegopodium podagraria L.	Apiaceae	kirskål	222185	Resident	Not Red-listed	0	0	4	4	7	4	8	5	3	5	6	5	5	1	3	1	4	2	8	1	4	2	Passive	0	C3	AM	0	0
Aesculus hippocastanum L.	Sapindaceae	hästkastanj	223321	Resident	Not Red-listed	4	8	3	6	13	4	5	6	4	5	5	6	3	1	1	5	4	2	7	2	4	1	Bird	0	C3	AM	0	0
Aethusa cynapium L.	Apiaceae	vildpersilja	219619	Resident	Not Red-listed	0	0	2	4	10	4	6	5	5	3	7	8	5	2	3	8	2	0c	9	2	4	3	Passive	0	C3	AM	0	0
Agastache rugosa (Fisch. & C. A. Mey.) Kuntze	Lamiaceae	koreansk anisisop	221593	Non-resident	Not Red-listed			1	6	11	2	4	7	6	4		7	4	1	2		3	1a	11	4	3		Passive	0		AM	0	0
Agrimonia eupatoria L.	Rosaceae	småborre	219918	Resident	Not Red-listed	0	0	4	2	10	2	4	4	5	3	6	6	3	1	2	5	4	0c	11	4	3	2	Adh	0	C3	AM	0	0
Agrimonia procera Wallr.	Rosaceae	luktsmåborre	11	Resident	Not Red-listed	0	0	3	2	11	4	7	5	5	5	7	6	3	1	2	5	4	0c	11	4	3	2	Adh	0	C3	AM	0	0
Agrostemma githago L.	Caryophyllaceae	klätt	14	Resident	CR	0	0	2	4	9	2	5	7	6	3	5	5	5	1	1	9	1	1b	8	1	1	1	Passive	0	C3	None	0	0
Agrostis canina L.	Poaceae	brunven	222187	Resident	Not Red-listed	0	0	4	1	5	4	9	5	4	7	2	3	2	2	4	6	4	0b	11	4		3	Passive	0	C3	AM	0	0
Agrostis capillaris L.	Poaceae	rödven	222188	Resident	Not Red-listed	0	0	4	1	3	3	9	5	5	4	4	5	3	2	5	2	4	0b	10	3		4	Passive	0	C3	AM	0	0
Agrostis clavata Trin.	Poaceae	köseven	15	Resident	Not Red-listed	0	0	2	1	7	11	12	8	5	4	5	4	4	1	3	7	3	0b					Passive	0	C3	AM	0	0
Agrostis gigantea Roth	Poaceae	storven	222192	Resident	Not Red-listed	0	0	3	1	5	2	7	6	5	5	5	6	4	2	3	4	4	0b	11	4		2	Passive	0	C3	AM	0	0
Agrostis mertensii Trin.	Poaceae	fjällven	222194	Resident	Not Red-listed	0	0	3	1	2	12	15	6	6	6	4	4	4	1	6	5	4	0b				3	Passive	0	C3	AM	0	0
Agrostis scabra Willd.	Poaceae	kvarnven	222197	Resident	Not Red-listed	5	14	3	1	8	8	10	7	7	5	5	4	4	1	3	7		0b				2	Passive	0	C3	AM	0	0
Agrostis stolonifera L.	Poaceae	krypven	222198	Resident	Not Red-listed	0	0	4	1	4	2	7	4	6	7	6	5	3	3	6	6	4	0b	11	4	4	3	Passive	0	C3	AM	0	0
Agrostis vinealis Schreb.	Poaceae	bergven	222200	Resident	Not Red-listed	0	0	3	1	3	4	10	3	6	3	4	3	2	1	5	4	4	0b	10	3	2	2	Passive	0	C3	AM	0	0
Aira caryophyllea L.	Poaceae	vittåtel	16	Resident	NT	0	0	1	1	12	2	3	6	7	1	6	4	3	1	5	7	1	0c	7	2	2		Passive	0	C3	AM	0	0
Aira praecox L.	Poaceae	vårtåtel	222203	Resident	Not Red-listed	0	0	1	1	11	4	6	3	7	1	4	2	4	1	5	8	1	0c	6	3	2	2	Passive	0	C3	AM	0	0
Ajuga genevensis L.	Lamiaceae	kritsuga	17	Resident	CR	0	0	2	5	12	4	5	6	6	2	8	5	3	1	6		4	1b	6	3	3	3	Myr	0	C3	AM	0	0
Ajuga pyramidalis L.	Lamiaceae	blåsuga	221597	Resident	Not Red-listed	0	0	1	5	6	5	9	3	4	4	3	2	3	1	6	4	4	1b	6	3	3	3	Myr	0	C3	AM	0	0
Ajuga reptans L.	Lamiaceae	revsuga	18	Resident	Not Red-listed	0	0	3	5	12	3	4	5	3	6	6	6	4	1	5	4	4	1b	6	3	3	3	Myr	0	C3	AM	0	0
Alcea rosea L.	Malvaceae	stockros	222777	Non-resident	Not Red-listed			3	3	12	3	4	5	7	2	7	7	5	2	1	7	3	1	11	4	1		Passive	0		AM	0	0
Alchemilla acutiloba Opiz	Rosaceae	stjärndaggkåpa	222015	Resident	Not Red-listed	0	0	2	3	4	6	10	5	5	5	6	6	3	1	4	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla alpina L.	Rosaceae	fjällkåpa	222934	Resident	Not Red-listed	0	0	2	3	2	9	13	4	6	5	4	2	3	1	5	4	4				3	1	Passive	0	C3	AM	0	0
Alchemilla baltica Sam. ex Juz.	Rosaceae	baltisk daggkåpa	222935	Resident	Not Red-listed	5	10	2	3	7	7	10	8	5	4	5	4	3	1	4	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla borealis Sam. ex Juz.	Rosaceae	norddaggkåpa	1848	Resident	NT	0	0	2	3	3	15	16		5	9	4	4	3	1		3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla chirophylla	Rosaceae	handkåpa	222937	Resident	Not Red-listed	6	?	2	3					5					1		3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla cymatophylla Juz.	Rosaceae	vågdaggkåpa	222940	Resident	Not Red-listed	5	12,8	2	3	7	7	10	6	4	5	5	5	3	1		3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla filicaulis Buser	Rosaceae	späddaggkåpa/vindaggkåpa	222941	Resident	Not Red-listed	0	0	2	3	3	6	11	4	5	4	3	4	3	1	6	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla glabra Neygenf.	Rosaceae	glatt daggkåpa	222942	Resident	Not Red-listed	0	0	2	3	4	3	8	3	5	6	5	5	3	1	5	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla glaucescens Wallr.	Rosaceae	sammetsdaggkåpa	222943	Resident	Not Red-listed	0	0	2	3	5	4	9	4	6	3	6	3	3	1	5	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla glomerulans Buser	Rosaceae	källdaggkåpa	222944	Resident	Not Red-listed	0	0	2	3	2	10	14	5	6	9	4	6	4	1	6	3	4	0d	7	2	4	3	Passive	0	C3	AM	0	0
Alchemilla heptagona Juz.	Rosaceae	sjuhörnig daggkåpa	20	Resident	VU	5	10	2	3	7	7	10	7	6	5	5	5	3	1	4	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla micans Buser	Rosaceae	glansdaggkåpa	222947	Resident	Not Red-listed	0	0	2	3	4	6	11	5	5	5	6	5	3	1	6	4	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla mollis (Buser) Rothm.	Rosaceae	jättedaggkåpa	222948	Resident	Not Red-listed	6	10,4	2	3	7	5	9	7	5	3	6	5	3	1	4	4	4	0d	7	2	3	3	Passive	0	C3	AM	0	0
Alchemilla monticola Opiz	Rosaceae	betesdaggkåpa	222949	Resident	Not Red-listed	0	0	2	3	4	4	9	5	5	5	6	5	3	1	6	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla murbeckiana Buser	Rosaceae	njurdaggkåpa	222950	Resident	Not Red-listed	0	0	2	3	3	8	12	5	6	5	7	5	2	1	5	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla oxyodonta (Buser) C. G. Westerl.	Rosaceae	skarptandad daggkåpa	22	Resident	EN	0	0	2	3	4	12	14	7	5	7	6	6	3	1	4	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla plicata Buser	Rosaceae	trubbdaggkåpa	222954	Resident	VU	1	4	2	3	8	6	9	8	5	5	6	4	3	1	4	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla propinqua H. Lindb. ex Juz.	Rosaceae	hjuldaggkåpa	222955	Resident	Not Red-listed	5	11,4	2	3	7	6	9	6	6	4	5	5	3	1	3	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla samuelssonii Rothm. ex S. E. Fröhner	Rosaceae	stubbdaggkåpa	21	Resident	VU	0	0	2	3	9	7	9	7	5	5	5	5	3	1	4	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla sarmatica Juz.	Rosaceae	sarmatisk daggkåpa	222958	Resident	Not Red-listed	5	12,8	2	3	7	8	10	8	5	5	6	5	3	1	4	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla speciosa Buser	Rosaceae	praktdaggkåpa	222960	Resident	Not Red-listed	5	8,8	2	3	11	5	7	6				6	3	1	3	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla subcrenata Buser	Rosaceae	ängsdaggkåpa	222961	Resident	Not Red-listed	0	0	2	3	4	6	11	6	5	5	5	6	4	1	4	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla subglobosa C. G. Westerl.	Rosaceae	valldaggkåpa	222962	Resident	Not Red-listed	0	0	2	3	4	8	12	7	5	5	6	5	3	1	4	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla taernaënsis Hyl. ex Ericsson & S. Hellq.	Rosaceae	tärnadaggkåpa	1849	Resident	NT	0	0	2	3	4	16	16		6	6	6	6	3	1	4	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla wichurae (Buser) Stefánsson	Rosaceae	skårdaggkåpa	222964	Resident	Not Red-listed	0	0	2	3	2	9	13	4	6	5	7	5	2	1	5	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alchemilla xanthochlora Rothm.	Rosaceae	kustdaggkåpa	24	Resident	VU	0	0	3	3	10	4	6	5	5	5	7	6	3	1	5	3	4	0d	7	2		3	Passive	0	C3	AM	0	0
Alisma lanceolatum With.	Alismataceae	gotlandssvalting	29	Resident	Not Red-listed	0	0	1		13	2	3	8	5	9	7	5	2	2	3	5	4	1			3		Passive	0	C3	None	0	0
Alisma plantago-aquatica L.	Alismataceae	svalting	219554	Resident	Not Red-listed	0	0	2		7	3	7	7	5	10	6	7	4	2	3	5	4	1	9	2		4	Passive	0	C3	None	0	0
Alisma wahlenbergii (Holmb.) Juz.	Alismataceae	småsvalting	30	Resident	NT	0	0	1		8	8	10	8	7	11	7	5	3	3	5		3						Passive	0	C3	None	0	0
Alliaria petiolata (M. Bieb.) Cavara & Grande	Brassicaceae	löktrav	219556	Resident	Not Red-listed	0	0	4	4	10	2	4	5	4	5	6	7	5	1	2	7	2	0c	5	4	4	3	Passive	0	C3	None	0	0
Allium carinatum L.	Amaryllidaceae	rosenlök	31	Resident	NT	0	0	1	5	11	4	6	6	6	3	7	5	4	1	3	6	4	0a	11	4	4		Passive	0	C3	AM	0	0
Allium hollandicum R. M. Fritsch	Amaryllidaceae	purpurlök	219740	Resident	Not Red-listed	6	14	1	5	12			8	5	2		6	4	1		6	4		6	3	2		Passive	0	C3	AM	0	0
Allium lineare L.	Amaryllidaceae	klipplök	32	Resident	EN	0	0	1	5	13	6	6	9	7	2	8	2	3	1	4		4		10	3	2		Passive	0	C3	AM	0	0
Allium lusitanicum Lam.	Amaryllidaceae	kantlök	1850	Resident	EN	0	0	1	5	10	4	6	6	5	3	4	3	4	1	3		4				2		Passive	0	C3	AM	0	0
Allium oleraceum L.	Amaryllidaceae	backlök	219744	Resident	Not Red-listed	0	0	1	4	10	3	5	3	5	3	6	5	5	1	3	3	4	0a	10	3		1	Passive	0	C3	AM	0	0
Allium oreophilum C. A. Mey.	Amaryllidaceae	berglök	219745	Resident	Not Red-listed	7	5	1	5					6	3			4	1	4		4		8	1			Passive	0	C3	AM	0	0
Allium paradoxum (M. Bieb.) G. Don	Amaryllidaceae	snödroppslök	219746	Resident	Not Red-listed	6	8,6	1	4	12	5	6	7	3	4	6	6	4	1	3		4	0a	5	4			Passive	0	C3	AM	0	0
Allium rotundum L.	Amaryllidaceae	rundlök	219750	Resident	Not Red-listed	6	5,6	1	5	12	3	4	6	7	3	8	7	4	1	4		4				2		Passive	0	C3	AM	0	0
Allium schoenoprasum L.	Amaryllidaceae	gräslök	219751	Resident	Not Red-listed	0	0	3	7	7	5	9	6	6	4	7	4	3	3	3	7	4	1	7	2	2		Passive	0	C3	AM	0	0
Allium scorodoprasum L.	Amaryllidaceae	skogslök	219752	Resident	Not Red-listed	0	0	2	4	11	6	7	5	4	4	6	6	5	1	2	2	4	0a	9	2		1	Passive	0	C3	AM	0	0
Allium ursinum L.	Amaryllidaceae	ramslök	219755	Resident	Not Red-listed	0	0	2	6	11	4	6	4	2	5	7	7	5	1	2	1	4	0c	6	3	4	1	Passive	0	C3	AM	0	0
Allium vineale L.	Amaryllidaceae	sandlök	219756	Resident	Not Red-listed	0	0	2	4	11	3	5	4	6	2	7	4	4	2	3	6	4	0a	10	3		2	Passive	0	C3	AM	0	0
Allium zebdanense Boiss. & Noë	Amaryllidaceae	majlök	219757	Resident	Not Red-listed	6	12,2	1	5	11	5	7	7	4	2	6	5	4	1	3		4				4		Passive	0	C3	AM	0	0
Alnus glutinosa (L.) Gaertn.	Betulaceae	klibbal	219758	Resident	Not Red-listed	0	0	7	3	8	3	6	7	5	8	5	4	4	2	3	1	4	0b	3	6	2	3	Passive	1	C3	AM/EM	0	0
Alnus incana (L.) Moench	Betulaceae	gråal	221388	Resident	Not Red-listed	0	0	6	3	4	9	12	4	6	7	6	4	4	2	2	4	4	0b	3	6	2	3	Passive	1	C3	AM/EM	0	0
Alopecurus aequalis Sobol.	Poaceae	gulkavle	221392	Resident	Not Red-listed	0	0	3	1	3	4	10	7	7	10	5	7	5	2	5	7	3	0c	8	1		3	Passive	0	C3	AM	0	0
Alopecurus arundinaceus Poir.	Poaceae	svartkavle	222205	Resident	Not Red-listed	0	0	3	1	8	6	9	8	6	8	7	8	5	4	4	2	4	0b	8	1			Passive	0	C3	AM	0	0
Alopecurus geniculatus L.	Poaceae	kärrkavle	222207	Resident	Not Red-listed	0	0	4	1	4	3	8	5	6	9	5	7	5	2	6	7	3	0b	7	2		3	Passive	0	C3	AM	0	0
Alopecurus myosuroides Huds.	Poaceae	renkavle	35	Resident	Not Red-listed	2	8	3	1	13	3	4	4	7	5	7	7	5	2	1	8	3	0b	8	1	2	3	Passive	0	C3	AM	0	0
Alopecurus pratensis L.	Poaceae	ängskavle	222209	Resident	Not Red-listed	0	0	5	1	4	3	8	5	6	7	5	7	5	2	6	6	4	0b	6	3	2	3	Passive	0	C3	AM	0	0
Althaea officinalis L.	Malvaceae	läkemalva	222016	Resident	Not Red-listed	0	0	2	3	13	4	5	5	6	7	7	7	5	3	2		4	1	13	6	2		Passive	0	C3	AM	0	0
Alyssum alyssoides (L.) L.	Brassicaceae	grådådra	1852	Resident	NT	3	10,3	3	3	12	3	4	6	7	2	8	3	4	1	4	8	1	0c	6	3	1	2	Passive	0	C3	None	0	0
Amaranthus blitum L.	Amaranthaceae	mållamarant	220626	Resident	Not Red-listed	5	8,8	2	1	13	1	2	6	7	3	6	8	5	2	1	9	1	0c				2	Passive	0	C4	None	0	0
Amaranthus hybridus L.	Amaranthaceae	grönamarant/toppamarant	220632	Non-resident	Not Red-listed			2	1	12	1	2	7	7	3	6	8	5	2	1	9	1	0c	12	5	2	2	Passive	0	C4	None	0	0
Amaranthus retroflexus L.	Amaranthaceae	svinamarant	220637	Resident	Not Red-listed	3	8,8	3	1	13	2	3	7	7	3	6	8	5	2	1	9	1	0c	12	5	1	4	Passive	0	C4	None	0	0
Ambrosia artemisiifolia L.	Asteraceae	malörtsambrosia	219920	Non-resident	Not Red-listed			2	1	14	1	1	7	7	3		8	4	2	1	9	1	0b	14	7	4	4	Passive	0	C4	AM	0	0
Ambrosia psilostachya DC.	Asteraceae	sträv ambrosia	219922	Resident	Not Red-listed	5	10,4	1	1	13	2	3		7	4	7	8	5	2	2	7	4	0b					Passive	0	C4	AM	0	0
Amelanchier alnifolia (Nutt.) M.Roem.	Rosaceae	sen häggmispel	219925	Resident	Not Red-listed	6	18,8	2	5	9	7	9	7	5	3	5	5	3	1	2		4	0d			4	1	Bird	0	C3	AM	0	0
Amelanchier confusa Hyl.	Rosaceae	svensk häggmispel	222967	Resident	Not Red-listed	4	21,5	2	5	10	7	8	7	5	3	4	3	3	1	2		4	0d			4	1	Bird	0	C3	AM	0	0
Amelanchier lamarckii F. G. Schroed.	Rosaceae	prakthäggmispel	222969	Resident	Not Red-listed	6	16,9	3	5	11	6	7	4	5	4	5	3	3	1	2		4	0d	5	4	4	1	Bird	0	C3	AM	0	0
Amelanchier spicata (Lam.) K. Koch	Rosaceae	häggmispel	222971	Resident	Not Red-listed	4	21,5	2	5	9	4	7	7	4	3	4	3	3	1	2	2	4	0d	5	4		1	Bird	0	C3	AM	0	0
Ammophila arenaria (L.) Link	Poaceae	sandrör	219926	Resident	Not Red-listed	0	0	4	1	12	2	3	4	7	4	6	5	4	4	3	6	4	0c	10	3	4	2	Passive	0	C3	AM	0	0
Ammophila arenaria x Calamagrostis epigejos	Poaceae	östersjörör	224539	Resident	Not Red-listed	0	0	2	1	12			5	7	4	5	5	4	3	3	4	4	0a	10	3			Passive	0	C3	AM	0	0
Anacamptis morio (L.) R. M. Bateman et al.	Orchidaceae	göknycklar	221501	Resident	Not Red-listed	0	0	1	1	13	2	3	5	5	5	7	2	1	1	7	4	4	2ab	6	3			AirD	0	C3	OrkM	0	0
Anacamptis palustris (Jacq.) R. M. Bateman et al.	Orchidaceae	kärrnycklar	1718	Resident	VU	0	0	1	1	13	2	3	6	6	9	8	2	1	1	4	3	4						AirD	0	C3	OrkM	0	0
Anacamptis pyramidalis (L.) Rich.	Orchidaceae	salepsrot	49	Resident	Not Red-listed	0	0	1	1	13	2	3	5	7	4	8	2	1	1	4	3	4	2ab	10	3			AirD	0	C3	OrkM	0	0
Anaphalis margaritacea (L.) Benth.	Asteraceae	pärleternell	221073	Resident	Not Red-listed	4	11,3	1		11	6	7	5	6	2	5	5	3	1	2	6	4	2	11	4	2	3	Passive	0	C3	AM	0	0
Anchusa arvensis (L.) M. Bieb.	Boraginaceae	fårtunga	219929	Resident	Not Red-listed	0	0	1	5	9	3	6	5	7	4	5	7	4	2	2	9	1	1a	8	1	2	2	Myr	0	C3	AM	0	0
Anchusa officinalis L.	Boraginaceae	oxtunga	221504	Resident	Not Red-listed	1	4	2	5	10	3	5	4	7	2	6	5	4	2	4	6	3	1a	6	3	2	2	Myr	0	C3	AM	0	0
Andromeda polifolia L.	Ericaceae	rosling	221955	Resident	Not Red-listed	0	0	3	4	3	5	11	5	5	6	2	1	1	1	4	1	4	1	6	3	4	2	AirD	0	C3	EriM	0	0
Androsace elongata L.	Primulaceae	sandviva	222212	Resident	Not Red-listed	3	7,7	1	1	9	3	6	8	7	2	6	3	3	1	4	8	1	1			4	2	Passive	0	C3	AM	0	0
Androsace septentrionalis L.	Primulaceae	grusviva	221076	Resident	Not Red-listed	0	0	1	1	5	6	10	8	6	2	7	4	2	1	4	8	1	1	6	3	2	2	Passive	0	C3	AM	0	0
Anemone blanda Schott & Kotschy	Ranunculaceae	balkansippa	222779	Resident	Not Red-listed	6	11,3	2	2	13	3	4	7	3	4	6	5	3	1	4		4	1	3	6			Passive	0	C3	AM	0	0
Anemone nemorosa L.	Ranunculaceae	vitsippa	222782	Resident	Not Red-listed	0	0	3	2	5	4	9	4	4	5	4	6	3	1	4	1	4	1	3	6	4	2	Passive	0	C3	AM	0	0
Anemone nemorosa x ranunculoides	Ranunculaceae	vitsippa x gulsippa (svavelsippa)	224888	Resident	Not Red-listed	0	0	3	2	7	4	8	4	4	5	6	5	3	1	4	1	4	0a	4	5			Passive	0	C3	AM	0	0
Anemone ranunculoides L.	Ranunculaceae	gulsippa	222783	Resident	Not Red-listed	0	0	3	2	9	4	7	3	3	6	7	6	4	1	4	1	4	1	4	5	4	1	Passive	0	C3	AM	0	0
Anemone sylvestris L.	Ranunculaceae	tovsippa	222784	Resident	Not Red-listed	0	0	2	2	13	5	6	8	5	4	8	3	2	1	2	2	4	0c				1	AirP	0	C3	AM	0	0
Angelica archangelica L.	Apiaceae	kvanne	219623	Resident	Not Red-listed	0	0	3	5	3	6	11	4	6	6	6	8	5	3	2	5	3	2	7	2	4		Water	0	C3	AM	0	0
Angelica sylvestris L.	Apiaceae	strätta	219624	Resident	Not Red-listed	0	0	5	5	4	3	8	4	5	7	4	7	4	2	2	2	3	2	10	3	4	2	Passive	0	C3	AM	0	0
Anisantha rigida (Roth) Hyl.	Poaceae	sticklosta	222214	Resident	Not Red-listed	5	8,8	2	1	13	3	4	4	7	2			3	1			1	0c					Passive	0	C3	AM	0	0
Anisantha sterilis (L.) Nevski	Poaceae	sandlosta	222216	Resident	Not Red-listed	2	9,2	3	1	12	2	3	5	7	2	7	7	4	1	1	9	1	0c	8	1		1	Passive	0	C3	AM	0	0
Anisantha tectorum (L.) Nevski	Poaceae	taklosta	222217	Resident	Not Red-listed	1	4	3	1	11	2	4	5	7	2	7	4	3	1	2	8	1	0c	7	2	2	2	Passive	0	C3	AM	0	0
Antennaria alpina (L.) Gaertn.	Asteraceae	fjällkattfot	264731	Resident	Not Red-listed	0	0	1	4	1	16	17		7	4	7	2	2	1	7	5	4	0d			2	1	Passive	0	C3	AM	0	0
Antennaria dioica (L.) Gaertn.	Asteraceae	kattfot	219933	Resident	Not Red-listed	0	0	3	4	2	4	10	5	6	3	6	1	2	1	7	4	4	2	5	4		1	Passive	0	C3	AM	0	0
Antennaria villifera Boriss.	Asteraceae	lappkattfot	219935	Resident	Not Red-listed	0	0	1	4	2	16	17		6	7	8	2	2	1	7	6	4						Passive	0	C3	AM	0	0
Anthemis arvensis L.	Asteraceae	åkerkulla	1855	Resident	NT	0	0	4	5	10	3	5	5	6	3	5	4	4	1	4	8	1	2	7	2	2	3	Passive	0	C3	AM	0	0
Anthemis cotula L.	Asteraceae	kamomillkulla	60	Resident	EN	1	4	3	5	10	2	4	5	6	5	7	8	5	3	3	9	1	2	11	4	2	4	Passive	0	C3	AM	0	0
Anthericum liliago L.	Asparagaceae	stor sandlilja	61	Resident	EN	0	0	1	4	11	4	6	6	5	2	6	2	1	1	2	4	4	1	8	1	3		Passive	0	C3	AM	0	0
Anthericum ramosum L.	Asparagaceae	liten sandlilja	219763	Resident	Not Red-listed	0	0	1	4	13	4	5	7	6	2	8	2	1	1	2	4	4	2	10	3	3	1	Passive	0	C3	AM	0	0
Anthoxanthum nipponicum Honda	Poaceae	nordvårbrodd	219764	Resident	Not Red-listed	0	0	4	1	2	11	14	5	5	4	4	3	3	2	4	3	4	0b				2	Passive	0	C3	AM	0	0
