Scientific_name	Family	Svenskt_namn	Dyntaxa_ID_number	Establishment	Red-listed	Time_of_immigration	Index_of_invasive_concern	Biodiversity_relevance	Nectar_production	Heat_requirement	Cold_requirement	Temp_optimum	Continentality	Light	Moisture	Soil_reaction_pH	Nitrogen	Phosphorus	Salinity	Grazing_mowing	Soil_disturbance	Longevity	Pollinator_dependence	Phenology	Extreme_phenology	Seed_dormancy	Seed_bank	Seed_disperser	Nitrogen_fixation	Photosynthetic_pathway	Mycorrhiza	Carnivory	Parasitism
Dianthus cruentus Griseb.	Caryophyllaceae	blodnejlika	220763	Resident	Not Red-listed	5	13,6	1	4	13	4	5	7	7	2	7	3	4	1	3	4	4		11	4	1		Passive	0	C3	None	0	0
Dianthus deltoides L.	Caryophyllaceae	backnejlika	220765	Resident	Not Red-listed	0	0	3	4	6	4	8	6	7	2	6	3	3	1	5	4	4	2ab	8	1	1	2	Passive	0	C3	None	0	0
Dianthus giganteiformis Borbas	Caryophyllaceae		231307	Non-resident	Not Red-listed			1	4	11	6	8	8	6	2	7	3	4	1	2	4	4	2ab			1	2	Passive	0	C3	None	0	0
Dianthus superbus L.	Caryophyllaceae	praktnejlika	529	Resident	EN	0	0	3	4	3	6	11	8	5	3	7	3	4	1	6	6	3	2b	8	1	1	2	Passive	0	C3	None	0	0
Diapensia lapponica L.	Diapensiaceae	fjällgröna	220770	Resident	Not Red-listed	0	0	1		2	16	17		7	3	5	2	2	1	3	5	4				4	1	Passive	0	C3	EM	0	0
Dicentra formosa (Haw.) Walp.	Papaveraceae	fänrikshjärta	222828	Resident	Not Red-listed	6	15	1	4	9	4	7	6	3	6	4	7	4	1	1	1	4		6	3	3	1		0	C3	AM	0	0
Digitalis lutea L.	Plantaginaceae	liten fingerborgsblomma	221625	Resident	Not Red-listed	4	10	2	4	11	2	4	5	4	2	7	4	2	1	3	5	4	2a	9	2	2	2	Passive	0	C3	AM	0	0
Digitalis purpurea L.	Plantaginaceae	fingerborgsblomma	221626	Resident	Not Red-listed	0	0	3	5	10	3	5	3	5	4	3	8	4	1	3	7	3	2a	8	1	2	3	Passive	0	C3	AM	0	0
Digitaria ischaemum (Schreb. ex Schweigg.) Muhl.	Poaceae	fingerhirs	550	Resident	Not Red-listed	1	2,6	1	1	12	3	4	4	7	5	6	5	4	2	3	8	1	0b	12	5	2	3	Passive	0	C4	AM	0	0
Digitaria sanguinalis (L.) Scop.	Poaceae	blodhirs	222422	Resident	Not Red-listed	3	5,8	2	1	13	1	2	5	7	4	6	6	4	2	2	8	1	0c			2	3	Passive	0	C4	AM	0	0
