"","ind","reg","low","med","upp","ind_2"
"4","Arealbruk/inngrep","S",0.63920791024599,0.648121893235308,0.657061596325208,1
"10","Klima","S",0.642065789779408,0.674076661220315,0.726958229428557,2
"16","Forurensing","S",0.892733491982094,0.896719852865037,0.900661806171599,3
"22","Bestandsregulering","S",0.345186126185443,0.391893198240752,0.516696678319064,4
"28","Fremmede arter","S",1,1,1,5
