"","ind","reg","low","med","upp","ind_2"
"5","Arealinngrep","E",0.78976281025785,0.810561742578065,0.833574672023626,1
"11","Klima","E",0.5869160604028,0.848364255389163,0.877929121297327,2
"17","Forurensing","E",0.836243838190492,0.846731516093835,0.853621510843091,3
"23","Beskatning","E",0.272474937656625,0.896631905788524,0.91725877842674,4
"29","Fremmede arter","E",0.995394606540117,0.998316498316498,1,5
