"","ind","reg","low","med","upp","ind_2"
"1","Arealbruk/inngrep","C",0.708721113959888,0.725367581802855,0.743686798211694,1
"7","Klima","C",0.70036579973606,0.731846468844367,0.749744965019148,2
"13","Forurensing","C",0.871869545797898,0.877235872706789,0.881276755589228,3
"19","Bestandsregulering","C",0.503927245442797,0.585922932755677,0.630765734033373,4
"25","Fremmede arter","C",0.988235294117647,1,1,5
