"","ind","reg","low","med","upp","ind_2"
"3","Arealinngrep","W",0.671133160747821,0.680447522422505,0.690085333710787,1
"9","Klima","W",0.684642782689346,0.707819072488105,0.748079366496629,2
"15","Forurensing","W",0.871234209484976,0.877798465051678,0.881526986356963,3
"21","Beskatning","W",0.333954032211606,0.380669464992616,0.483166281179705,4
"27","Fremmede arter","W",1,1,1,5
