"","ind","reg","low","med","upp","ind_2"
"2","Arealbruk/inngrep","N",0.712889098645817,0.724434416665128,0.735651303127327,1
"8","Klima","N",0.653384949951637,0.689938060135227,0.721457749962822,2
"14","Forurensing","N",0.848569543056957,0.852677933754834,0.855783683658174,3
"20","Bestandsregulering","N",0.339275466584733,0.42009669229309,0.46917611586002,4
"26","Fremmede arter","N",0.997050505050505,0.998702672988387,0.999891156462585,5
