"","ind","reg","low","med","upp","ind_2"
"5","Arealinngrep","E",0.697830532359319,0.70663860327189,0.715804456146934,1
"11","Klima","E",0.678870883356443,0.72350224865299,0.746258488283167,2
"17","Forurensing","E",0.863897148939762,0.873876751899832,0.88001802307071,3
"23","Beskatning","E",0.403626726785242,0.524692226686171,0.547965039863603,4
"29","Fremmede arter","E",0.995172050744806,0.99791985906537,1,5
