"","ind","reg","low","med","upp","ind_2"
"3","Arealbruk/inngrep","W",0.66515735180041,0.680604189146351,0.699223789685432,1
"9","Klima","W",0.683113394193946,0.708664319993837,0.749161466475271,2
"15","Forurensing","W",0.871427359217758,0.877816158644086,0.881551716397709,3
"21","Bestandsregulering","W",0.327969255291667,0.381725105,0.4861763125,4
"27","Fremmede arter","W",1,1,1,5
