"","ind","reg","low","med","upp","ind_2"
"1","Arealinngrep","C",0.734339173208774,0.762122962388827,0.781863836228385,1
"7","Klima","C",0.711369864841661,0.862331937928589,0.882298209674589,2
"13","Forurensing","C",0.841445302088867,0.846147328958743,0.849248244887479,3
"19","Beskatning","C",0.707180745572257,0.922414329659558,0.93119027569613,4
"25","Fremmede arter","C",0.988235294117647,1,1,5
