"","ind","reg","low","med","upp","ind_2"
"6","Land use","Norge",0.669745541490735,0.713623820140512,0.737775291590473,1
"12","Climate change","Norge",0.65497426297802,0.704964527944785,0.741011236331654,2
"18","Pollution","Norge",0.862410712507178,0.865370007216368,0.867737858847389,3
"24","Population management","Norge",0.346631401532839,0.462421352905411,0.531444629274071,4
"30","Alien species","Norge",0.996750595704386,0.99890915397266,0.999619545370789,5
