"","reg","per","alien_scaled","blb_scaled","deer_scaled","dw10_scaled","dw30_scaled","EllF1_scaled","EllF2_scaled","EllN1_scaled","EllN2_scaled","forest_scaled","inon_scaled","ndviL_scaled","ndviU_scaled","old_scaled","pred_scaled","ros_scaled"
"1","C",6,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0120948234155781,0.0648282535074988,0.0604741170778907,0.0164489598451863,0.0769230769230769,0.0769230769230769,0.0285269422445698,0.0483961346785071,0.0769230769230769,0.0769230769230769,0.0769230769230769
"10001","N",6,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0203492567470053,0.0565738201760716,0.0558126084441874,0.0211104684788895,0.0769230769230769,0.0769230769230769,0.0336366929614301,0.0432863839616468,0.0769230769230769,0.0769230769230769,0.0769230769230769
"20001","W",6,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0161290322580645,0.0607940446650124,0.0589330024813896,0.0179900744416873,0.0769230769230769,0.0769230769230769,0.0366194047692182,0.0403036721538587,0.0769230769230769,0.0769230769230769,0.0769230769230769
"30001","S",6,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0211027910142954,0.0558202859087815,0.0595643294758339,0.017358747447243,0.0769230769230769,0.0769230769230769,0.0328405018041355,0.0440825751189415,0.0769230769230769,0.0769230769230769,0.0769230769230769
"40001","E",6,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0263986013986014,0.0505244755244755,0.0606272998072542,0.0162957771158227,0.0769230769230769,0.0769230769230769,0.0288885777423354,0.0480344991807415,0.0769230769230769,0.0769230769230769,0.0769230769230769
"50001","Norge",6,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0201565649463273,0.0567665119767496,0.0587600319143943,0.0181630450086826,0.0769230769230769,0.0769230769230769,0.030200655776845,0.0467224211462319,0.0769230769230769,0.0769230769230769,0.0769230769230769
