"","ind","reg","per","low","med","upp","ind_2"
"1","Land use","C",6,0.338403719050544,0.37072097987816,0.396846902527731,1
"7","Climate change","C",6,0.580609243214446,0.627804100284991,0.665622492614962,2
"13","Pollution","C",6,0.600009004393088,0.610368519681386,0.620346549023315,3
"19","Population management","C",6,0.104905875705998,0.269496948884213,0.399431598915947,4
"25","Alien species","C",6,0.9881293,0.996344920440636,0.99997342192691,5
