"ind","reg","per","low","med","upp"
"are","C",6,0.338403719050544,0.37072097987816,0.396846902527731
"are","N",6,0.398221076507071,0.420943135612154,0.432046059257918
"are","W",6,0.298935073164446,0.319172727987311,0.360927468021153
"are","S",6,0.383693940028785,0.406626877835344,0.425212444318501
"are","E",6,0.358027468395057,0.380139646614779,0.397707521542673
"are","Norge",6,0.373268667449269,0.385293341788145,0.396003739284867
"kli","C",6,0.580609243214446,0.627804100284991,0.665622492614962
"kli","N",6,0.655043244690584,0.687097669309044,0.700812548280352
"kli","W",6,0.560967098250621,0.589582388007146,0.648658981920005
"kli","S",6,0.670335863131498,0.701107112924944,0.7276546004895
"kli","E",6,0.663682004803676,0.694981888132717,0.72000126631161
"kli","Norge",6,0.653166110459024,0.669764075590991,0.685136914686025
"fef","C",6,0.600009004393088,0.610368519681386,0.620346549023315
"fef","N",6,0.578665968308,0.588610730741926,0.598740560983222
"fef","W",6,0.62748217969816,0.642008722178948,0.656964279545819
"fef","S",6,0.654305087459208,0.664929446957756,0.675645391776635
"fef","E",6,0.633273354920349,0.643733810168647,0.654017539401277
"fef","Norge",6,0.61769870070025,0.622983188694852,0.628169874753858
"bes","C",6,0.104905875705998,0.269496948884213,0.399431598915947
"bes","N",6,0.366749607,0.4776550325,0.51367291
"bes","W",6,2.8400279375e-07,0.0814641105075,0.30200915057675
"bes","S",6,0.292106671875,0.4015643575,0.494108961875
"bes","E",6,0.3428829365,0.451513445,0.537858369625
"bes","Norge",6,0.32456127675,0.381354055,0.43634029175
"fre","C",6,0.9881293,0.996344920440636,0.99997342192691
"fre","N",6,0.9884353,0.9962997,1
"fre","W",6,0.9961905,0.9997959,1
"fre","S",6,0.999045,0.9996587,1
"fre","E",6,0.9890911,0.995453,0.9990494
"fre","Norge",6,0.9932780825,0.99660675,0.99875696
