"","ind","reg","per","low","med","upp","ind_2"
"6","Land use","Norge",6,0.373268667449269,0.385293341788145,0.396003739284867,1
"12","Climate change","Norge",6,0.653166110459024,0.669764075590991,0.685136914686025,2
"18","Pollution","Norge",6,0.61769870070025,0.622983188694852,0.628169874753858,3
"24","Population management","Norge",6,0.32456127675,0.381354055,0.43634029175,4
"30","Alien species","Norge",6,0.9932780825,0.99660675,0.99875696,5
