"","ind","reg","per","low","med","upp"
"1","ppr","C",6,0.678912010747559,0.691884442654619,0.704579258645712
"2","ppr","N",6,0.656312303870283,0.668817106440951,0.681468531959661
"3","ppr","W",6,0.728249315327512,0.747531110429276,0.766106404264809
"4","ppr","S",6,0.705243711263553,0.718512754794473,0.731773986895767
"5","ppr","E",6,0.710807314015184,0.725233800587508,0.739709166645347
"6","ppr","Norge",6,0.692875121351926,0.699972605866573,0.706926967421411
"7","isf","C",6,0.34964435222561,0.356595881205647,0.363406386558215
"8","isf","N",6,0.316856156827709,0.323411843562883,0.329992264969547
"9","isf","W",6,0.331685368621641,0.340220663366051,0.349002434937031
"10","isf","S",6,0.36741244715867,0.374307181060902,0.381342220755375
"11","isf","E",6,0.321988356992398,0.326047171669864,0.330178423873803
"12","isf","Norge",6,0.335445206580027,0.338233732231928,0.340922842606618
"13","bmb","C",6,0.0996612604959369,0.269442504564526,0.398421383452668
"14","bmb","N",6,0.369197949871322,0.478177338060783,0.51369099607213
"15","bmb","W",6,2.63640055336048e-07,0.0812773255646909,0.307420717601963
"16","bmb","S",6,0.290221827977026,0.400421076676429,0.495624168190603
"17","bmb","E",6,0.342565208635543,0.452104316852828,0.539957610334752
"18","bmb","Norge",6,0.324142940622581,0.381668350877561,0.436189360992635
"19","fgw","C",6,NA,NA,NA
"20","fgw","N",6,NA,NA,NA
"21","fgw","W",6,NA,NA,NA
"22","fgw","S",6,NA,NA,NA
"23","fgw","E",6,NA,NA,NA
"24","fgw","Norge",6,NA,NA,NA
"25","bio","C",6,0.395030881706672,0.412384433812902,0.430757880206183
"26","bio","N",6,0.393933080917564,0.415414060646809,0.435383476083516
"27","bio","W",6,0.355463201153793,0.373852191688179,0.393235192834256
"28","bio","S",6,0.411852529971743,0.430777272423719,0.451060747511856
"29","bio","E",6,0.392283252049279,0.409864997947038,0.428055429994478
"30","bio","Norge",6,0.398694873652008,0.411427572467008,0.424865449329869
"31","lsp","C",6,0.226847547646802,0.244161328329817,0.262251341963607
"32","lsp","N",6,0.287772204404745,0.312361236029715,0.337351109719692
"33","lsp","W",6,0.137251262573259,0.156014080363217,0.175075751894853
"34","lsp","S",6,0.158478964380476,0.173735669735641,0.189531176876685
"35","lsp","E",6,0.138273558679592,0.147862328923114,0.157321416529225
"36","lsp","Norge",6,0.201285514910254,0.211796794880478,0.22225717091665
"37","abf","C",6,0.601514501588124,0.618176258442671,0.634400071107809
"38","abf","N",6,0.60608820848521,0.621151080303638,0.63671225440546
"39","abf","W",6,0.63011270670618,0.658756134706252,0.688659641098926
"40","abf","S",6,0.647606910428693,0.6644242205873,0.681910430160952
"41","abf","E",6,0.646065430445605,0.664669630271953,0.68232885147974
"42","abf","Norge",6,0.632737427701964,0.641413701495641,0.650056099934529
