"","ind","reg","per","low","med","upp","names_plot"
"1","alien_scaled","C",6,0.98812933496532,0.996344920440636,0.99997342192691,"Absence of alien species "
"2","alien_scaled","N",6,0.988435325602141,0.996299732381802,1,"Absence of alien species "
"3","alien_scaled","W",6,0.996190476190476,0.999795918367347,1,"Absence of alien species "
"4","alien_scaled","S",6,0.998986425339367,0.99965869424693,1,"Absence of alien species "
"5","alien_scaled","E",6,0.989103086487878,0.995473053011073,0.999049405878674,"Absence of alien species "
"6","alien_scaled","Norge",6,0.993375248118461,0.996608620609859,0.998785793645174,"Absence of alien species "
"7","blb_scaled","C",6,0.430843989769821,0.447297527706735,0.46388789428815,"Bilberry cover "
"8","blb_scaled","N",6,0.41158038147139,0.428247048138056,0.444777475022707,"Bilberry cover "
"9","blb_scaled","W",6,0.409233305853256,0.43159109645507,0.454278647980214,"Bilberry cover "
"10","blb_scaled","S",6,0.539961221522055,0.558061076102763,0.576161173048958,"Bilberry cover "
"11","blb_scaled","E",6,0.468411198600175,0.479750656167979,0.491426181102362,"Bilberry cover "
"12","blb_scaled","Norge",6,0.462006897386253,0.469144885446918,0.476316594062601,"Bilberry cover "
"13","deer_scaled_upper","C",6,0.148766558675846,0.48484220493693,0.744504200364693,"Large cervids (upper lv*)"
"14","deer_scaled_upper","N",6,0.71096455953302,0.932256481149025,1.11359146030837,"Large cervids (upper lv*)"
"15","deer_scaled_upper","W",6,0,0.154559679280865,0.558628116383116,"Large cervids (upper lv*)"
"16","deer_scaled_upper","S",6,0.545692998952452,0.76424381391581,0.94633379368667,"Large cervids (upper lv*)"
"17","deer_scaled_upper","E",6,0.598071561665613,0.816997939364265,0.99161205052704,"Large cervids (upper lv*)"
"18","deer_scaled_upper","Norge",6,0.597347699839258,0.712092665912915,0.8174914903545,"Large cervids (upper lv*)"
"19","dw10_scaled","C",6,0.146653526957595,0.156969321408228,0.167453594156889,"Dead wood total"
"20","dw10_scaled","N",6,0.0826878378438309,0.0901304011953579,0.0978078820858168,"Dead wood total"
"21","dw10_scaled","W",6,0.113030123923871,0.125902391930443,0.139266046638643,"Dead wood total"
"22","dw10_scaled","S",6,0.135025870441858,0.145264340627936,0.155956402142672,"Dead wood total"
"23","dw10_scaled","E",6,0.124027384181789,0.130712179199585,0.13747020080009,"Dead wood total"
"24","dw10_scaled","Norge",6,0.12311267517149,0.127178579276152,0.131173576321947,"Dead wood total"
"25","dw30_scaled","C",6,0.0600948463614153,0.0694848399204351,0.079264399882998,"Coarse woody debris"
"26","dw30_scaled","N",6,0.00994769611805884,0.0143927039112439,0.0194117524864936,"Coarse woody debris"
"27","dw30_scaled","W",6,0.0281269565319314,0.0376648463452042,0.048082192891392,"Coarse woody debris"
"28","dw30_scaled","S",6,0.0421115162588069,0.0505948592442771,0.059748764461625,"Coarse woody debris"
"29","dw30_scaled","E",6,0.0404016484072105,0.0459173720701649,0.051711953451482,"Coarse woody debris"
"30","dw30_scaled","Norge",6,0.0391198051312627,0.0423501330530352,0.0456777496507189,"Coarse woody debris"
"31","EllF1_scaled","C",6,0.685418684270371,0.740362887601983,0.79661854301684,"Ellenberg F (lower lv*)"
"32","EllF1_scaled","N",6,0.734689144402805,0.768301357706076,0.80265626207193,"Ellenberg F (lower lv*)"
"33","EllF1_scaled","W",6,0.711512065211754,0.777575041812157,0.844520533933799,"Ellenberg F (lower lv*)"
"34","EllF1_scaled","S",6,0.713976622403973,0.755668824924492,0.80389471013541,"Ellenberg F (lower lv*)"
"35","EllF1_scaled","E",6,0.714989710285784,0.746959146612256,0.778223440448671,"Ellenberg F (lower lv*)"
"36","EllF1_scaled","Norge",6,0.738025853380512,0.75681878802793,0.776535043625208,"Ellenberg F (lower lv*)"
"37","EllF2_scaled","C",6,0.63613209756497,0.658575600434423,0.679963009436299,"Ellenberg F (upper lv*)"
"38","EllF2_scaled","N",6,0.658846742619926,0.678065944198285,0.698518086824305,"Ellenberg F (upper lv*)"
"39","EllF2_scaled","W",6,0.590103236056422,0.644059756985091,0.700051507482656,"Ellenberg F (upper lv*)"
"40","EllF2_scaled","S",6,0.683229896969335,0.705066645792867,0.730697108180367,"Ellenberg F (upper lv*)"
"41","EllF2_scaled","E",6,0.667727887901015,0.696079530674792,0.72037094304516,"Ellenberg F (upper lv*)"
"42","EllF2_scaled","Norge",6,0.667269920213229,0.679247188629545,0.691031529800311,"Ellenberg F (upper lv*)"
"43","EllN1_scaled","C",6,0.498986046120586,0.528991172775278,0.558437124502973,"Ellenberg N (lower lv*)"
"44","EllN1_scaled","N",6,0.473065221046722,0.50298772839848,0.533969227467974,"Ellenberg N (lower lv*)"
"45","EllN1_scaled","W",6,0.580572240734636,0.624676436751978,0.669304052474348,"Ellenberg N (lower lv*)"
"46","EllN1_scaled","S",6,0.549247542912187,0.579415092416677,0.609924907269179,"Ellenberg N (lower lv*)"
"47","EllN1_scaled","E",6,0.550364379096858,0.585449278636095,0.619903888158937,"Ellenberg N (lower lv*)"
"48","EllN1_scaled","Norge",6,0.533917274750574,0.550477401747977,0.567412561847663,"Ellenberg N (lower lv*)"
"49","EllN2_scaled","C",6,0.647805998623677,0.696978233515775,0.744612222552143,"Ellenberg N (upper lv*)"
"50","EllN2_scaled","N",6,0.594316867651135,0.63787700424065,0.684401677812187,"Ellenberg N (upper lv*)"
"51","EllN2_scaled","W",6,0.640549549498528,0.711876001855658,0.790572592635118,"Ellenberg N (upper lv*)"
"52","EllN2_scaled","S",6,0.663352415985074,0.710565237864566,0.763731483352402,"Ellenberg N (upper lv*)"
