"","IND","ppr","isf","bmb","fgw","bio","lsp","abf"
"1","alien_scaled",0,1,0,0,0,0,0
"2","blb_scaled",0,1,0,0,0,0,0
"3","deer_scaled",0,0,1,0,0,0,0
"4","dw10_scaled",0,1,0,0,0,0,0
"5","dw30_scaled",0,1,0,0,0,0,0
"6","EllF1_scaled",0,0,0,0,0,0,1
"7","EllF2_scaled",0,0,0,0,0,0,1
"8","EllN1_scaled",1,0,0,0,0,0,1
"9","EllN2_scaled",1,0,0,0,0,0,1
"10","forest_scaled",0,0,0,0,1,0,0
"11","inon_scaled",0,0,0,0,0,1,0
"12","ndviL_scaled",1,0,0,0,0,0,0
"13","ndviU_scaled",1,0,0,0,0,0,0
"14","old_scaled",0,1,0,0,0,1,0
"15","pred_scaled",0,0,1,0,0,0,0
"16","ros_scaled",0,1,0,0,0,0,0
