"","ind","reg","per","low","med","upp","ind_2"
"2","Land use","N",6,0.398221076507071,0.420943135612154,0.432046059257918,1
"8","Climate change","N",6,0.655043244690584,0.687097669309044,0.700812548280352,2
"14","Pollution","N",6,0.578665968308,0.588610730741926,0.598740560983222,3
"20","Population management","N",6,0.366749607,0.4776550325,0.51367291,4
"26","Alien species","N",6,0.9884353,0.9962997,1,5
