"","ind","reg","per","low","med","upp","ind_2"
"3","Land use","W",6,0.298935073164446,0.319172727987311,0.360927468021153,1
"9","Climate change","W",6,0.560967098250621,0.589582388007146,0.648658981920005,2
"15","Pollution","W",6,0.62748217969816,0.642008722178948,0.656964279545819,3
"21","Population management","W",6,2.8400279375e-07,0.0814641105075,0.30200915057675,4
"27","Alien species","W",6,0.9961905,0.9997959,1,5
