"a_reg","a_period","alien_scaled","blb_scaled","deer_scaled","dw10_scaled","dw30_scaled","EllF1_scaled","EllF2_scaled","EllN1_scaled","EllN2_scaled","forest_scaled","inon_scaled","ndviL_scaled","ndviU_scaled","old_scaled","pred_scaled","ros_scaled"
"C",6,1,1,1,1,1,0.157232704402516,0.842767295597484,0.786163522012579,0.213836477987421,1,1,0.370850249179408,0.629149750820592,1,1,1
"N",6,1,1,1,1,1,0.264540337711069,0.735459662288931,0.725563909774436,0.274436090225564,1,1,0.437277008498592,0.562722991501408,1,1,1
"W",6,1,1,1,1,1,0.209677419354839,0.790322580645161,0.766129032258065,0.233870967741935,1,1,0.476052261999837,0.523947738000163,1,1,1
"S",6,1,1,1,1,1,0.274336283185841,0.725663716814159,0.774336283185841,0.225663716814159,1,1,0.426926523453761,0.573073476546239,1,1,1
"E",6,1,1,1,1,1,0.343181818181818,0.656818181818182,0.788154897494305,0.211845102505695,1,1,0.37555151065036,0.62444848934964,1,1,1
"Norge",6,1,1,1,1,1,0.262035344302255,0.737964655697745,0.763880414887126,0.236119585112874,1,1,0.392608525098986,0.607391474901015,1,1,1
