"","ind","reg","per","low","med","upp","ind_2"
"5","Land use","E",6,0.358027468395057,0.380139646614779,0.397707521542673,1
"11","Climate change","E",6,0.663682004803676,0.694981888132717,0.72000126631161,2
"17","Pollution","E",6,0.633273354920349,0.643733810168647,0.654017539401277,3
"23","Population management","E",6,0.3428829365,0.451513445,0.537858369625,4
"29","Alien species","E",6,0.9890911,0.995453,0.9990494,5
