"","OBJECTID","SSBID","ANOID","RSIZE","ROW","COL","XCOOR","YCOOR","ANONUM","PakkeNr","Overvåkingsår","CountyNr","MunicNr","CountyName","Region.x","RegionNr","Kommune_OLD","Kommune","Fylke","Region.y","refs_blabar"
"95",412,22375007042500,"ANO0109",500,689,1249,237750,7042750,109,2,2020,50,5059,"Trøndelag nor","C",2,1638,"ORKDAL","Sør-Trøndelag","Midt-Norge",12.5
"96",315,26120007627000,"ANO0133",500,1438,2418,612250,7627250,133,1,2020,19,5415,"Troms nor 1","N",1,1920,"LAVANGEN","Troms","Nord-Norge",5
"97",239,30250007830500,"ANO0138",500,2264,2825,1025250,7830750,138,1,2020,20,5442,"Finnmark nor 1","N",1,2027,"UNJARGGA_NESSEBY","Finnmark","Nord-Norge",2.5
"98",731,20620006467000,"ANO0154",500,338,98,62250,6467250,154,3,2020,10,4205,"Vest-Agder nor","S",4,1002,"MANDAL","Vest-Agder","Sørlandet",12.5
"99",731,20620006467000,"ANO0154",500,338,98,62250,6467250,154,3,2020,10,4205,"Vest-Agder nor","S",4,1021,"MARNARDAL","Vest-Agder","Sørlandet",12.5
"100",731,20620006467000,"ANO0154",500,338,98,62250,6467250,154,3,2020,10,4205,"Vest-Agder nor","S",4,1029,"LINDESNES","Vest-Agder","Sørlandet",12.5
"101",662,23225007135000,"ANO0159",500,859,1434,322750,7135250,159,2,2020,50,5007,"Trøndelag nor","C",2,1703,"NAMSOS","Nord-Trøndelag","Midt-Norge",12.5
"102",662,23225007135000,"ANO0159",500,859,1434,322750,7135250,159,2,2020,50,5007,"Trøndelag nor","C",2,1725,"NAMDALSEID","Nord-Trøndelag","Midt-Norge",12.5
"103",662,23225007135000,"ANO0159",500,859,1434,322750,7135250,159,2,2020,50,5007,"Trøndelag nor","C",2,1748,"FOSNES","Nord-Trøndelag","Midt-Norge",12.5
"104",800,21820006749000,"ANO0196",500,578,662,182250,6749250,196,3,2020,6,3041,"Buskerud nor","E",5,617,"GOL","Buskerud","Østlandet",12.5
"105",395,22450007019500,"ANO0198",500,704,1203,245250,7019750,198,2,2020,50,5029,"Trøndelag nor","C",2,1657,"SKAUN","Sør-Trøndelag","Midt-Norge",12.5
"106",389,21490007022000,"ANO0212",500,512,1208,149250,7022250,212,2,2020,15,1576,"Møre og Romsdal  nor","C",2,1576,"AURE","Møre_og_Romsdal","Midt-Norge",12.5
"107",723,22055006807500,"ANO0215",500,625,779,205750,6807750,215,3,2020,5,3441,"Oppland nor","E",5,522,"GAUSDAL","Oppland","Østlandet",12.5
"108",135,26195007638000,"ANO0225",500,1453,2440,619750,7638250,225,1,2020,19,5417,"Troms nor 1","N",1,1923,"SALANGEN","Troms","Nord-Norge",5
"109",46,24715007274500,"ANO0227",500,1157,1713,471750,7274750,227,1,2020,18,1826,"Nordland nor","N",1,1826,"HATTFJELLDAL","Nordland","Nord-Norge",10
"110",458,20315006947000,"ANO0231",500,277,1058,31750,6947250,231,2,2020,15,1517,"Møre og Romsdal  nor","C",2,1517,"HAREID","Møre_og_Romsdal","Midt-Norge",12.5
"111",112,26875007744000,"ANO0242",500,1589,2652,687750,7744250,242,1,2020,19,5424,"Troms nor 1","N",1,1938,"LYNGEN","Troms","Nord-Norge",5
"112",113,26565007749500,"ANO0259",500,1527,2663,656750,7749750,259,1,2020,19,5401,"Troms nor 1","N",1,1902,"TROMSØ","Troms","Nord-Norge",5
"113",379,22375007011500,"ANO0265",500,689,1187,237750,7011750,265,2,2020,50,5059,"Trøndelag nor","C",2,1622,"AGDENES","Sør-Trøndelag","Midt-Norge",12.5
"114",379,22375007011500,"ANO0265",500,689,1187,237750,7011750,265,2,2020,50,5059,"Trøndelag nor","C",2,1636,"MELDAL","Sør-Trøndelag","Midt-Norge",12.5
"115",379,22375007011500,"ANO0265",500,689,1187,237750,7011750,265,2,2020,50,5059,"Trøndelag nor","C",2,1638,"ORKDAL","Sør-Trøndelag","Midt-Norge",12.5
"116",823,22720006666000,"ANO0268",500,758,496,272250,6666250,268,3,2020,2,3031,"Akershus nor","E",5,233,"NITTEDAL","Akershus","Østlandet",12.5
"117",749,23025006919000,"ANO0270",500,819,1002,302750,6919250,270,3,2020,4,3426,"Hedmark nor","E",5,436,"TOLGA","Hedmark","Østlandet",10
"118",683,21340006989500,"ANO0274",500,482,1143,134250,6989750,274,2,2020,15,1557,"Møre og Romsdal  nor","C",2,1557,"GJEMNES","Møre_og_Romsdal","Midt-Norge",12.5
"119",284,25530007603000,"ANO0291",500,1320,2370,553250,7603250,291,1,2020,18,5412,"Nordland nor","N",1,1852,"TJELDSUND","Nordland","Nord-Norge",5
"120",284,25530007603000,"ANO0291",500,1320,2370,553250,7603250,291,1,2020,18,5412,"Nordland nor","N",1,1913,"SKÅNLAND","Troms","Nord-Norge",5
"121",819,20720006559500,"ANO0295",500,358,283,72250,6559750,295,3,2020,9,4220,"Aust-Agder nor","S",4,938,"BYGLAND","Aust-Agder","Sørlandet",12.5
"122",606,23555007089000,"ANO0296",500,925,1342,355750,7089250,296,2,2020,50,5038,"Trøndelag nor","C",2,1721,"VERDAL","Nord-Trøndelag","Midt-Norge",12.5
"123",80,24310007324500,"ANO0303",500,1076,1813,431250,7324750,303,1,2020,18,1824,"Nordland nor","N",1,1824,"VEFSN","Nordland","Nord-Norge",10
"124",656,20455006664000,"ANO0309",500,305,492,45750,6664250,309,2,2020,12,4618,"Hordaland nor","W",3,1227,"JONDAL","Hordaland","Vestlandet",12.5
