zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
1,,78653276,0,0,48682.1579225901,48682.1579225901,5060.19944346604,5060.19944346604,7997.35751109729,63957727.1603043,158.044314269546,398001263441.981,398001263441.981
2,,34017710,0,0,50909.0610795367,50909.0610795367,3701.72943156127,3701.72943156127,7538.19844366298,56824435.7760429,203.639908940714,125924358301.316,125924358301.316
3,,31342912,0,0,29870.4285205285,29870.4285205285,396.219813947865,396.219813947865,998.729473101155,997460.560440911,252.064494995843,12418682761.2243,12418682761.2243
4,,26673403,0,0,32662.0957686429,32662.0957686429,3418.85440153092,3418.85440153092,6277.73057516282,39409901.1743341,183.620881086709,91192481250.3581,91192481250.3581
5,,17351248,0,0,29966.81497924,29966.81497924,2434.72524091614,2434.72524091614,5472.36572633195,29946786.6427326,224.763173863216,42245521466.9957,42245521466.9957
