zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
1,,78653276,0,0,76584.2836357434,76584.2836357434,7554.35458571405,7554.35458571405,11957.945941441,142992471.138425,158.29209240528,594174736232.033,594174736232.033
2,,34017710,0,0,58128.4783905445,58128.4783905445,4919.1360938081,4919.1360938081,9611.61557129907,92383153.8904387,195.392349144346,167337745089.697,167337745089.697
3,,31342912,0,0,34192.2871419857,34192.2871419857,798.062781072867,798.062781072867,1960.9776317042,3845433.27204423,245.717214010154,25013611517.6421,25013611517.6421
4,,26673403,0,0,37881.1298669931,37881.1298669931,4340.0641111181,4340.0641111181,7022.16213986151,49310761.1185044,161.798580852126,115764279081.69,115764279081.69
5,,17351248,0,0,34289.7214920156,34289.7214920156,2765.7180203756,2765.7180203756,5775.14282145924,33352274.6082522,208.811700213565,47988659269.6061,47988659269.6061
