zone,label,non_null_cells,null_cells,min,max,range,mean,mean_of_abs,stddev,variance,coeff_var,sum,sum_abs
1,,24208465,0,0,43341.579343628,43341.579343628,2525.42936843695,2525.42936843695,3041.79566548933,9252520.87058966,120.446673484753,61136768475.7781,61136768475.7781
2,,7333312,0,0,14940.0468540095,14940.0468540095,1396.05756087304,1396.05756087304,1633.47953786052,2668255.40060901,117.006603713317,10237725663.841,10237725663.841
3,,7604760,0,0,15609.6925017759,15609.6925017759,2644.38392415977,2644.38392415977,2651.6720053253,7031364.42382588,100.27560601541,20109905091.0933,20109905091.0933
4,,8161820,0,0,18972.9412585398,18972.9412585398,2602.69970438871,2602.69970438871,3195.57853836101,10211722.1948335,122.779379156673,21242766501.2739,21242766501.2739
5,,2835345,0,0,13000,13000,2076.39603692329,2076.39603692329,2107.75011827504,4442610.56108846,101.510024137698,5887299121.31027,5887299121.31027
